Row,CCIS00146684ST-4-0,CCIS00281083ST-3-0,CCIS02124300ST-4-0,CCIS02379307ST-4-0,CCIS03473770ST-4-0,CCIS06260551ST-3-0,CCIS07539127ST-4-0,CCIS07648107ST-4-0,CCIS08668806ST-3-0,CCIS09568613ST-4-0,CCIS10793554ST-4-0,CCIS11015875ST-4-0,CCIS11354283ST-4-0,CCIS11558985ST-4-0,CCIS12370844ST-4-0,CCIS12656533ST-4-0,CCIS13047523ST-4-0,CCIS14449628ST-4-0,CCIS15704761ST-4-0,CCIS15794887ST-4-0,CCIS16326685ST-4-0,CCIS16383318ST-4-0,CCIS16561622ST-4-0,CCIS17669415ST-4-0,CCIS21126322ST-4-0,CCIS21278152ST-4-0,CCIS22906510ST-20-0,CCIS22958137ST-20-0,CCIS23164343ST-4-0,CCIS24254057ST-4-0,CCIS24898163ST-4-0,CCIS25399172ST-4-0,CCIS27304052ST-3-0,CCIS29210128ST-4-0,CCIS29688262ST-20-0,CCIS31434951ST-20-0,CCIS32105356ST-4-0,CCIS32452666ST-4-0,CCIS33816588ST-4-0,CCIS34055159ST-4-0,CCIS35092938ST-4-0,CCIS35100175ST-4-0,CCIS36699628ST-4-0,CCIS36797902ST-4-0,CCIS37250421ST-4-0,CCIS38765456ST-20-0,CCIS40244499ST-3-0,CCIS41288781ST-4-0,CCIS41548810ST-4-0,CCIS41692898ST-4-0,CCIS41806458ST-4-0,CCIS44093303ST-4-0,CCIS44676181ST-4-0,CCIS44743950ST-4-0,CCIS45571137ST-3-0,CCIS46047672ST-4-0,CCIS46467422ST-4-0,CCIS47284573ST-4-0,CCIS48174381ST-4-0,CCIS48507077ST-4-0,CCIS48579360ST-4-0,CCIS48725289ST-4-0,CCIS50003399ST-4-0,CCIS50148151ST-4-0,CCIS50369211ST-20-0,CCIS50471204ST-4-0,CCIS51595129ST-4-0,CCIS52370277ST-4-0,CCIS53043478ST-4-0,CCIS53355328ST-4-0,CCIS53557295ST-4-0,CCIS54027808ST-4-0,CCIS55230578ST-4-0,CCIS55531770ST-4-0,CCIS58234805ST-4-0,CCIS59132091ST-4-0,CCIS59903910ST-4-0,CCIS61287323ST-4-0,CCIS62605362ST-3-0,CCIS62794166ST-4-0,CCIS63468405ST-4-0,CCIS63910149ST-4-0,CCIS64773582ST-4-0,CCIS64785924ST-20-0,CCIS65479369ST-4-0,CCIS70398272ST-4-0,CCIS71301801ST-4-0,CCIS71578391ST-4-0,CCIS72607085ST-4-0,CCIS74239020ST-4-0,CCIS74726977ST-3-0,CCIS76563044ST-4-0,CCIS76845094ST-20-0,CCIS77252613ST-4-0,CCIS78100604ST-4-0,CCIS78318719ST-4-0,CCIS79210440ST-3-0,CCIS80834637ST-4-0,CCIS81139242ST-4-0,CCIS81710917ST-20-0,CCIS81887263ST-4-0,CCIS82507866ST-3-0,CCIS82944710ST-20-0,CCIS83445808ST-4-0,CCIS83870198ST-4-0,CCIS84543192ST-4-0,CCIS85214191ST-3-0,CCIS87116798ST-4-0,CCIS87167916ST-4-0,CCIS87252800ST-4-0,CCIS90164298ST-4-0,CCIS91228662ST-4-0,CCIS93040568ST-20-0,CCIS94417875ST-3-0,CCIS94496512ST-4-0,CCIS95097901ST-4-0,CCIS95409808ST-4-0,CCIS96387239ST-4-0,CCIS98482370ST-3-0,CCIS98512455ST-4-0,CCIS98832363ST-4-0
CCIS00146684ST-4-0,0.720979423,0.001829729,0.008527033,0.003297522,0.023661916,0.003495451,0.016820463,0.005298966,0.002226364,0.00451401,0.003369395,0.007330147,0.029413007,0.003138277,0.005054647,0.012598669,0.005150877,0.006166299,0.00344956,0.002548487,0.018078899,0.003999374,0.014151861,0.005958976,0.003263008,0.001725808,0.004974717,0.004921005,0.004276041,0.00409587,0.007382228,0.009408496,0.002716484,0.012140802,0.006316518,0.002267782,0.001979608,0.003407041,0.002789336,0.003275352,0.002573703,0.002527238,0.012725316,0.002339745,0.024930701,0.001889693,0.001714941,0.010311901,0.018120684,0.004988972,0.002355361,0.002663049,0.021771839,0.006381851,0.00214156,0.006325204,0.002791345,0.003870273,0.008636168,0.006044412,0.001685142,0.003562819,0.007838858,0.004126589,0.004677728,0.013568646,0.001938014,0.007140013,0.005770156,0.004221282,0.009536512,0.003200631,0.012847293,0.003421244,0.002443504,0.005047089,0.004597562,0.00347487,0.004825408,0.01863258,0.002424543,0.004436524,0.008801726,0.004449266,0.002427351,0.004789752,0.005395287,0.003254085,0.001903217,0.002322044,0.009273679,0.002992221,0.005940825,0.001746617,0.014090299,0.028768113,0.002493061,0.012384007,0.009499537,0.005329061,0.01684096,0.001905076,0.003803241,0.005034346,0.023693542,0.001987638,0.001763796,0.010855898,0.004289842,0.004042542,0.001926606,0.007220043,0.004002182,0.002237861,0.005045706,0.006421315,0.002191163,0.001860618,0.00183116,0.004258069,0.010837338
CCIS00281083ST-3-0,0.001829729,0.714506734,0.003815957,0.011150193,0.003416993,0.003632159,0.001478323,0.001858824,0.016433473,0.002238843,0.002922892,0.002354265,0.001841579,0.01162522,0.031133923,0.001886575,0.0016214,0.004927737,0.001163758,0.00624327,0.015364881,0.008320837,0.001830118,0.002833743,0.004442944,0.004207155,0.004012819,0.002281014,0.005616886,0.000952975,0.001470667,0.002729245,0.037241217,0.003035882,0.002022738,0.004169756,0.021790404,0.0040556,0.003157393,0.003831754,0.003564384,0.00854961,0.001666524,0.00306106,0.002111427,0.003787599,0.045097173,0.00130103,0.001673178,0.001651856,0.003690754,0.001052099,0.002049832,0.002378951,0.027441552,0.002327254,0.010336154,0.004027665,0.003019346,0.003300694,0.028210827,0.002463345,0.001940543,0.001041013,0.002758103,0.002207416,0.004916031,0.001401254,0.003698995,0.002975398,0.003103587,0.013288672,0.003362779,0.008374969,0.005526011,0.003185467,0.001954204,0.003338707,0.00672904,0.001878933,0.00457764,0.004698829,0.002436072,0.003165204,0.007905747,0.004517063,0.001956854,0.003590544,0.000968756,0.004940842,0.00955402,0.00950958,0.001877695,0.020688307,0.002085414,0.002284062,0.023266958,0.001885408,0.001935989,0.002108909,0.002777107,0.021479639,0.003553258,0.004984662,0.002771427,0.032407282,0.00167072,0.004008042,0.001468089,0.001748708,0.012155595,0.002005165,0.001992114,0.018277754,0.003417931,0.002481194,0.00423855,0.039464546,0.040694874,0.002103138,0.016449608
CCIS02124300ST-4-0,0.008527033,0.003815957,0.711067884,0.003725953,0.004921034,0.002461835,0.027736183,0.010021307,0.003742021,0.00406455,0.00714252,0.004454165,0.010426075,0.003198798,0.002454432,0.004294162,0.009043088,0.006070156,0.003294969,0.005771949,0.005843442,0.004552382,0.009563614,0.00402933,0.012630175,0.003235871,0.01136451,0.0034221,0.004045595,0.002269058,0.002780192,0.004138815,0.002940151,0.004720397,0.009705204,0.003826838,0.009547832,0.004520887,0.002419941,0.003213849,0.013271067,0.003392325,0.012544803,0.002619124,0.018426142,0.003226932,0.003492275,0.003722686,0.005864948,0.026799796,0.005620407,0.003261851,0.009002175,0.01759794,0.003251848,0.007912349,0.004419518,0.006543312,0.004679659,0.010403408,0.006372473,0.017252759,0.014046555,0.004610159,0.003422137,0.015156932,0.004169441,0.016086193,0.003462223,0.003414216,0.015584096,0.005486791,0.003217076,0.006606433,0.002520381,0.003581145,0.0186513,0.004497373,0.004503671,0.011552982,0.002401943,0.004180901,0.004398156,0.003173389,0.003983641,0.005763467,0.006897577,0.00865652,0.001587461,0.004176999,0.00333067,0.0026897,0.008609555,0.003115264,0.012017777,0.006533273,0.002396864,0.010201339,0.004822591,0.012042927,0.00573554,0.00338977,0.006597849,0.002918312,0.012722647,0.008187885,0.00245785,0.00280249,0.003190122,0.004215803,0.002966368,0.013925634,0.003111211,0.002007906,0.013139242,0.016304265,0.00382402,0.006298111,0.007729426,0.004887115,0.007553051
CCIS02379307ST-4-0,0.003297522,0.011150193,0.003725953,0.728211546,0.002844077,0.004348799,0.006232968,0.007365501,0.009418314,0.003755024,0.002918356,0.012849343,0.003564764,0.01173527,0.005712203,0.00788571,0.006564732,0.003705663,0.002686211,0.010865417,0.007461558,0.004184319,0.007546659,0.004399592,0.006121528,0.010453383,0.004857402,0.002815859,0.005501507,0.009433931,0.003344834,0.006782964,0.017465764,0.0040966,0.002724552,0.01057984,0.004524633,0.004351189,0.010372513,0.002835427,0.003320518,0.003356156,0.00296208,0.011003499,0.003239657,0.010448308,0.005830243,0.005593236,0.004266107,0.003441052,0.004273403,0.003634817,0.004471135,0.003601291,0.006887807,0.004654932,0.011183142,0.003037292,0.003884782,0.004184907,0.004801272,0.003669456,0.003241751,0.004367733,0.003476685,0.005861723,0.00444241,0.004283129,0.01824352,0.016675883,0.005831151,0.003435122,0.003959895,0.016463143,0.003199717,0.004182821,0.003811502,0.003884051,0.004058455,0.007342413,0.004839568,0.018353805,0.010562064,0.009375027,0.011556496,0.00467163,0.019998066,0.006967089,0.0072104,0.005337709,0.004153794,0.010317428,0.003174837,0.004905072,0.003492113,0.003035336,0.005583462,0.010360158,0.003655248,0.003391949,0.003398483,0.011372949,0.0051919,0.004829505,0.003638179,0.010112213,0.007373431,0.003883884,0.00301422,0.006159487,0.005083253,0.008901807,0.003430743,0.007539525,0.005029689,0.003627317,0.005869896,0.006314625,0.011277033,0.004934531,0.010511791
CCIS03473770ST-4-0,0.023661916,0.003416993,0.004921034,0.002844077,0.723635419,0.007257387,0.010347602,0.002755757,0.005725066,0.004853473,0.00729207,0.004862034,0.00854173,0.00407648,0.005793828,0.00246812,0.002900067,0.005701592,0.002699228,0.004227679,0.006107281,0.010096463,0.006921905,0.013884243,0.013073148,0.003107241,0.002663217,0.006397021,0.007679334,0.002545172,0.005474566,0.006134708,0.003532888,0.00328376,0.003222899,0.00517859,0.016283184,0.004302972,0.004624695,0.004095168,0.004190646,0.004492719,0.003567184,0.004314418,0.005764155,0.003391648,0.003899471,0.006892283,0.015614488,0.004339089,0.007675365,0.001715835,0.00386275,0.003343291,0.003117089,0.004047903,0.002765141,0.01976388,0.005599434,0.002859668,0.011177455,0.006018447,0.007293511,0.002645633,0.00611389,0.006381343,0.010523809,0.003404683,0.004907926,0.010488427,0.011715498,0.006375176,0.03139664,0.004372301,0.003989175,0.022484795,0.002797167,0.009647535,0.017231422,0.004565154,0.004537943,0.004877151,0.003352629,0.008220012,0.003297274,0.006239516,0.00292003,0.005409113,0.001428964,0.011033408,0.014124843,0.005072339,0.006753872,0.005273381,0.004666753,0.015794414,0.004154433,0.002436581,0.003752399,0.008492285,0.008174027,0.00269035,0.005557069,0.004343681,0.006483892,0.005255546,0.001573033,0.013652645,0.002803583,0.002716542,0.005426576,0.004138789,0.002977546,0.004184584,0.008279716,0.011518932,0.00470001,0.004610672,0.003069928,0.002785823,0.004674237
CCIS06260551ST-3-0,0.003495451,0.003632159,0.002461835,0.004348799,0.007257387,0.761930525,0.002068922,0.00150764,0.005798583,0.00304505,0.011640781,0.00311733,0.002604894,0.004736316,0.003313385,0.013653035,0.001483917,0.00212528,0.001166776,0.003723404,0.0032302,0.002800198,0.002830539,0.003876595,0.012358129,0.00528035,0.001846425,0.012334995,0.011285953,0.002293438,0.001807008,0.002718099,0.004608594,0.0023886,0.002021305,0.005710568,0.010475365,0.004885157,0.024722698,0.002231953,0.005759413,0.003878713,0.003312268,0.036838908,0.002818174,0.007163976,0.003000012,0.00162437,0.004153025,0.001829508,0.00556072,0.001217197,0.002181865,0.001837703,0.006662429,0.014208955,0.001940765,0.020458073,0.003150445,0.002446727,0.004647964,0.004671385,0.002038886,0.001439681,0.003297282,0.001941056,0.006538917,0.001907393,0.005997472,0.032738981,0.004402778,0.003575955,0.011092047,0.004988224,0.006938424,0.005685925,0.001799455,0.003067968,0.015701135,0.002040625,0.00456182,0.004098392,0.002491122,0.006709027,0.003534134,0.006032286,0.002298472,0.003920539,0.001772867,0.005063017,0.010958774,0.003615299,0.003129053,0.003254079,0.002284882,0.003122075,0.020769375,0.001779209,0.001959849,0.022018832,0.021204375,0.006107623,0.005883702,0.003949498,0.002769626,0.003932225,0.001294832,0.013202439,0.001923012,0.002049948,0.003874783,0.001632729,0.002228282,0.036656255,0.002905148,0.004420008,0.005303802,0.003664519,0.004100136,0.001689881,0.003480578
CCIS07539127ST-4-0,0.016820463,0.001478323,0.027736183,0.006232968,0.010347602,0.002068922,0.697056536,0.021623869,0.00254867,0.004597723,0.003070052,0.007199655,0.011855076,0.002606487,0.00236711,0.004584743,0.004412385,0.017022937,0.006237879,0.003290749,0.004052661,0.012025237,0.020672581,0.004395451,0.002388026,0.002426509,0.021547072,0.002984531,0.002038075,0.005163036,0.007500388,0.007089002,0.001629792,0.007909086,0.010627312,0.001823724,0.001363981,0.002075555,0.003326736,0.004171507,0.009787236,0.003229267,0.012623864,0.003389746,0.004276734,0.002466218,0.001825402,0.006087542,0.022788033,0.029788932,0.010586108,0.004711648,0.010215963,0.018971342,0.001823812,0.009681855,0.002374457,0.004367453,0.007328589,0.014074352,0.001323867,0.003513017,0.012219054,0.016483201,0.003747027,0.019061928,0.001682347,0.017048174,0.012701788,0.003266159,0.009215976,0.003454919,0.009634115,0.002468532,0.003129246,0.002485257,0.011166279,0.011575389,0.002006539,0.019274172,0.002207519,0.002097597,0.003413592,0.002329782,0.006922037,0.00262,0.015907224,0.002585236,0.002809492,0.001882331,0.007905896,0.003340763,0.004897765,0.001602551,0.010827149,0.016068078,0.002252826,0.004901129,0.004358526,0.017872763,0.002948761,0.00171059,0.002421609,0.00378721,0.007163776,0.003140594,0.001969881,0.010416285,0.004696782,0.010773149,0.00185894,0.043380798,0.002694886,0.001890845,0.003566057,0.005617709,0.001713734,0.001613802,0.002338783,0.01000306,0.002499207
CCIS07648107ST-4-0,0.005298966,0.001858824,0.010021307,0.007365501,0.002755757,0.00150764,0.021623869,0.741015297,0.002489492,0.005252548,0.001608767,0.00620968,0.009490743,0.008935762,0.002793908,0.0034685,0.003188947,0.008870797,0.002687351,0.002414654,0.002184608,0.006217056,0.020850161,0.003550021,0.001704775,0.001960051,0.041605055,0.002769065,0.001943885,0.002711912,0.011869197,0.003002541,0.001663629,0.014518865,0.018230473,0.001515841,0.001321127,0.00185695,0.002591115,0.003623943,0.00222448,0.002449876,0.005801824,0.002445646,0.002272519,0.002092745,0.001737972,0.00541028,0.009623737,0.006849889,0.00586572,0.003300534,0.008799623,0.01009862,0.001873574,0.00868348,0.00485397,0.002019449,0.009257366,0.021626575,0.001241456,0.001886067,0.004833662,0.011346786,0.003934347,0.023606351,0.00172449,0.005902475,0.009355479,0.00219363,0.00330929,0.002128662,0.002409652,0.001899184,0.003352537,0.002267612,0.004168335,0.00601728,0.001883691,0.027354219,0.001707015,0.00186136,0.003758824,0.001931791,0.009310691,0.002447988,0.037854745,0.001782611,0.001541119,0.00157123,0.001916163,0.002692627,0.003797414,0.001335278,0.008223822,0.00341483,0.002014334,0.006052233,0.003671085,0.00496606,0.001969047,0.001513975,0.001568262,0.002412317,0.002737877,0.002504189,0.001713636,0.002627767,0.01212311,0.055066805,0.001510748,0.035010242,0.00228803,0.001414267,0.002190779,0.003523756,0.001398335,0.001912238,0.003790109,0.028632506,0.001817584
CCIS08668806ST-3-0,0.002226364,0.016433473,0.003742021,0.009418314,0.005725066,0.005798583,0.00254867,0.002489492,0.736305551,0.003406255,0.004905032,0.00278064,0.003482524,0.011737136,0.013275459,0.002416925,0.00611493,0.003171482,0.001556616,0.002445492,0.004097812,0.002809671,0.002735339,0.003758674,0.008354638,0.007049087,0.003896219,0.003095861,0.010402617,0.001492498,0.001578501,0.002491184,0.032474456,0.002687169,0.002779466,0.008625825,0.010282705,0.00768693,0.004791458,0.002779125,0.00705453,0.003259818,0.00250895,0.005561744,0.002974347,0.005519965,0.006241634,0.002714076,0.002413001,0.008693145,0.007310669,0.00258737,0.004279213,0.003136705,0.030222855,0.004285614,0.004822234,0.006600943,0.002764031,0.003574915,0.015368817,0.005139936,0.003879318,0.002256911,0.002253292,0.008664246,0.009694164,0.002494171,0.002638812,0.004271658,0.007825803,0.003980621,0.00292951,0.020022912,0.002215267,0.003215326,0.003381876,0.002367251,0.013048811,0.002855424,0.006510931,0.009578603,0.003275652,0.005237514,0.002746037,0.004764842,0.003001806,0.007233722,0.00165504,0.0080548,0.004713082,0.003775172,0.003607669,0.004327411,0.003223697,0.002310262,0.034667132,0.005175454,0.003567677,0.003091219,0.003942948,0.033308023,0.004923657,0.004724553,0.002339345,0.006294527,0.001662475,0.004022608,0.001576254,0.002322063,0.003876022,0.002041398,0.002901345,0.025705793,0.006465264,0.003594713,0.007825394,0.008650437,0.023785209,0.002854318,0.004421497
CCIS09568613ST-4-0,0.00451401,0.002238843,0.00406455,0.003755024,0.004853473,0.00304505,0.004597723,0.005252548,0.003406255,0.719739077,0.004117406,0.004184652,0.011592577,0.003569191,0.002389231,0.003839202,0.002500999,0.003736271,0.002871038,0.003403364,0.002680947,0.004155979,0.028982299,0.002741673,0.003301232,0.006989377,0.004521967,0.017790557,0.00302001,0.002726108,0.004000347,0.003567916,0.002603154,0.003813255,0.007455244,0.012576075,0.012542367,0.019832134,0.016495956,0.032167729,0.004786618,0.004353903,0.019839366,0.004338966,0.003306688,0.006232879,0.004238688,0.002873438,0.004433487,0.004622633,0.012847226,0.002117848,0.005662569,0.019176563,0.003400448,0.005839115,0.005595339,0.003687867,0.012200812,0.011475487,0.004301947,0.010598228,0.003115203,0.002714679,0.00414671,0.012084166,0.029181333,0.004381679,0.005004124,0.00266874,0.002900095,0.003709791,0.004521126,0.004101901,0.006906584,0.003042338,0.003797303,0.029700768,0.011625639,0.012815832,0.010517536,0.004272816,0.031740197,0.004271969,0.004550064,0.002569903,0.012825212,0.004546415,0.003060705,0.007239793,0.004166837,0.004562604,0.004728597,0.003650561,0.003369833,0.003757277,0.003027128,0.011452723,0.002270454,0.003780596,0.003445515,0.004207763,0.002437073,0.004204507,0.002898534,0.00284979,0.005026611,0.003625027,0.014265357,0.003811599,0.0039078,0.004284729,0.004968991,0.003173703,0.003030753,0.002512489,0.00695251,0.002750232,0.002660604,0.004270402,0.00311063
