Row,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
S118,0.708762154834379,0.0274660652348933,0.0116583581377634,0.0121287851413561,0.00873282281544272,0.0310953027951406,0.00488458832615865,0.00400590289970661,0.0278096185627932,0.00425766495280541,0.00470923101395422,0.00536479982990208,0.00617344836024595,0.00688285956044676,0.00355219972403523,0.00538554956475149,0.00335753910038099,0.00576381710387776,0.00460763666749905,0.00608573696230353,0.00668049195173472,0.0032566227257984,0.00579553188428471,0.00545413186481349,0.0114853536286827,0.00465837996477536,0.00407314195403557,0.00709526986492198,0.00694298576420272,0.00831401205743361,0.0061273193985151,0.00370577075617864,0.00424546547911365,0.0121756667210842,0.0157511598778967,0.00969186489130778,0.00600091359194982,0.00515888199539394,0.00666304696439042,0.00432988414460689,0.00450369101757198,0.00474917425168235,0.012641675400483,0.0133413257941378,0.00764621274436007,0.00736826678709241,0.00327984382519767,0.00526743776784669,0.00668960052749074,0.0153507348921994,0.00597446517783315,0.00553296552190017,0.0044511489883415,0.00563503282996552,0.00590353011197875,0.0130332941856945,0.0248086335992626,0.00403712424427083,0.005190605036805,0.0120588521612647,0.0100132945254894,0.00972171997157863,0.0119352311709072,0.00616695835511221,0.00403007705232001,0.00565337284121688,0.00504639503709509,0.00626928644033693,0.00667268555894329,0.00381991036834586,0.00769937306317976,0.00299088513083046,0.00563434752596033,0.0115719273400871,0.00646522687354339,0.0134673838049205,0.0223745413781606,0.0119776857885981,0.0260247208393203,0.0130972391987731,0.00669480550728995,0.0154826877928045,0.00742343056047296,0.00475696805271719,0.0199623174224707,0.00514894980382114,0.00377666625044403,0.00578662969578002,0.00339857071958488,0.0102884187276586,0.00661843193398698,0.00367717149588477,0.0158809441488933,0.00630579239449625,0.00600375809760489,0.00490022372060208
S121,0.0274660652348933,0.682015280290479,0.00507443514023827,0.02518265147426,0.00529782182530114,0.014225552235589,0.00477745896457131,0.00539744401332214,0.0152329266946732,0.0104436778799263,0.00447405320704971,0.0134630437917131,0.0116019157014709,0.00522985694898574,0.00349216163441695,0.00688002179263141,0.00236308176447366,0.0125604616225697,0.0151860477511666,0.00520050931062439,0.00459475006002769,0.00309601293394602,0.00607291962598518,0.00267188402402787,0.00404727253931548,0.0109944565129409,0.00531495653343783,0.0026188479480644,0.0181536277741335,0.00497891142277723,0.0209406414945019,0.00425524192105644,0.00229125086100736,0.0105977479301361,0.0118685694570993,0.00416778347568717,0.00917011971694246,0.0112794116813465,0.012684891723987,0.00347083793239568,0.00225303267105442,0.00493440291442719,0.0272826713994214,0.00405767578044925,0.00598394622033235,0.00453250021066248,0.00196942595025343,0.00809862366681093,0.00350487074136306,0.00966246513804017,0.0121684612574908,0.0118988633729028,0.00471012433555175,0.0068349231861314,0.0172488150416378,0.019173746515643,0.0286639729688033,0.00970997259096724,0.00528951696912115,0.018814713819512,0.00636542110604183,0.00440676397603675,0.00887618926287143,0.0118208923838008,0.00394564909248364,0.00536508104341151,0.00492549877861456,0.00403783634067582,0.0114910676762481,0.00349535146016442,0.0247882679878127,0.00169047194154367,0.0097027594988352,0.00762905572262857,0.00202596171075325,0.0052798352767236,0.0128316860048607,0.00354015969154887,0.0299849754946504,0.022218395719867,0.00452449734986853,0.0170026803106106,0.0137806252161917,0.00964419232312327,0.0140576064328579,0.00178165482371158,0.0036745442497824,0.00816594804390328,0.00439624778122114,0.00874545796764633,0.0115284073209907,0.00535063864710414,0.0193255803798743,0.0118293420884131,0.00696344466749342,0.00496813846296555
S126,0.0116583581377634,0.00507443514023827,0.69910239512148,0.0117493895631707,0.0454505064322949,0.00430021131540958,0.00392416425663847,0.00457386055424984,0.00558467738377914,0.00739236295363136,0.00246032637407346,0.0108878648667733,0.0387684372441116,0.0156209747458548,0.00208158148072062,0.00413058004671965,0.00219868681314231,0.0217839348280848,0.00465570210503872,0.00930962045309749,0.00521046357314605,0.00190918200043851,0.00405164603462698,0.00270375130509355,0.0286377002501967,0.0100436626430902,0.00313238646661621,0.0029511293653193,0.00465199120208444,0.00780795325734091,0.00330012373032296,0.00309931594618403,0.00222888510069422,0.00653442517422236,0.0199743951756937,0.00333788291636856,0.0120736928033692,0.00498356351996204,0.00683574257981295,0.00230671124032087,0.0020495201106104,0.00450372478367545,0.00392213926473426,0.0225776528601648,0.00718716270044638,0.0336130584942996,0.00244345019260282,0.00349736114558622,0.00414434979356985,0.00795332769592125,0.0081609141912111,0.0218672266430888,0.00523384272196009,0.00398245821660328,0.0053033228992721,0.00528383494431231,0.00416300734110398,0.00389050665085597,0.00388355135086098,0.00306669726883692,0.0117155527693963,0.00817007954261952,0.0145300292560148,0.00575695278297665,0.016000159513494,0.011666155186222,0.00312303356027697,0.0164606294225508,0.00485343764160497,0.00353428976578548,0.00750840295744583,0.00226286977183617,0.00211626936118445,0.0142574350219776,0.00321663976504579,0.00365915334921574,0.00470716678005227,0.0189210263984552,0.00442515436947233,0.0140721728850038,0.00274284051245767,0.0155776554356036,0.0034559913458401,0.0140841102999702,0.01381365752807,0.0035622361016531,0.00181492494203496,0.0146156189260821,0.00433627823023477,0.0253184364817351,0.0150042116127087,0.00336401701949907,0.013371654947535,0.00767975178354582,0.0207224998295347,0.0051098250810952
S127,0.0121287851413561,0.02518265147426,0.0117493895631707,0.66802882847127,0.00849425813306888,0.00371059663237551,0.0041473881718549,0.0108786941876964,0.0108593591064388,0.00867676608528343,0.00350068661021182,0.0133883505721736,0.0228618789769496,0.0107384235450713,0.00273910432783357,0.0127587336622296,0.00196912940992492,0.034391576665333,0.0151422217246875,0.00989488924065835,0.00561872247127046,0.00275701473677,0.00574802727194979,0.0021806713429471,0.00531954639443801,0.0154714058226877,0.00584169271773168,0.00191340489153265,0.00659595066611633,0.00309937579397427,0.00720345015044447,0.00447882277724326,0.00162600831397323,0.013332623688277,0.018359830967127,0.00342538746569417,0.0344209022701946,0.0220676139600135,0.0213704641539656,0.00269647676033869,0.00168994824123817,0.00451562348414446,0.0145348208954075,0.00440835260427523,0.0037820184530891,0.00648375601983227,0.00138842562364355,0.00926324770801066,0.00281125760006062,0.00760830417856412,0.0167475238742295,0.0240021092556034,0.0048911249938664,0.0145158118305038,0.0161616112456655,0.0120822607627449,0.0103242782565197,0.00587952614371083,0.00875095576963036,0.0099695207710265,0.00691498570033912,0.00376703936375915,0.0158735243043827,0.0253018331213785,0.00376295482614927,0.00662858897371015,0.00453794902265306,0.00656737036185414,0.0166614074648039,0.0027207454810968,0.0107990351021227,0.00165179437543687,0.00420921564044219,0.010776873137129,0.00151121939940843,0.00354849725466398,0.00830188667119237,0.00418648393582115,0.0125361001326809,0.0229034907438543,0.00473193022494975,0.0200208806841833,0.00535828149549306,0.0142708435915869,0.00763823918466542,0.00171459811928264,0.0023712744952512,0.0147838593109236,0.00427336932254436,0.00588189327785092,0.0177609203946147,0.00540956321072249,0.0221471917162665,0.0170366630286889,0.0204241952926306,0.0098625962938342
S137,0.00873282281544272,0.00529782182530114,0.0454505064322949,0.00849425813306888,0.716507850097513,0.00344371995842504,0.00394908711036706,0.00504505410158598,0.00555620491585865,0.0076851262808699,0.00225265133511609,0.0150052618280104,0.0383087260199885,0.00735180856496645,0.00182353808022346,0.00464379889163722,0.00144348651324953,0.0175671944044167,0.00553630719013059,0.00803796356839208,0.00446961969285728,0.00183955863060181,0.00433445457284313,0.00262100390652783,0.0277136806012094,0.00691158610529041,0.00287587949130335,0.00227185314049588,0.00442748762400785,0.00827998558089667,0.0033991035359455,0.00287257970908164,0.00157309011806401,0.00517889284681871,0.0161939965736082,0.00291188526363135,0.00940868935838051,0.0047021459241979,0.00744823038636152,0.00210323342169665,0.00157775964258874,0.00425420625740454,0.00455269138633092,0.0246104809087695,0.00710695561390439,0.0181908212454933,0.00154092827444846,0.00339152355561136,0.00421609920713794,0.00507504495479745,0.00762914794101107,0.0303175539104266,0.00442436075469839,0.00395273804427849,0.00572882642482611,0.00434047255732178,0.00422818577246679,0.00491337631534602,0.00378495051554874,0.00346773308184393,0.0158815275531597,0.0121096610631473,0.0178767887747104,0.00565683094506278,0.0128220657385054,0.0175560004003893,0.0030562760667605,0.00952852162607126,0.00509049368536861,0.00357291671579773,0.00725597653073623,0.00143528201544793,0.00263914523772788,0.0115051474313197,0.00222759304560895,0.00291178203617412,0.00405532999945251,0.0197553506678743,0.0049355186503137,0.0175461368499085,0.00249533473018868,0.0173188245816698,0.00344060209039244,0.0142778948712049,0.0135729860762357,0.0017984994556024,0.00202326195365607,0.00748912780662784,0.00391002790060438,0.0156490509490945,0.0220752237091833,0.00340901414961936,0.00770337033868196,0.00847702490154801,0.0227910953448201,0.00427763746569591
S141,0.0310953027951406,0.014225552235589,0.00430021131540958,0.00371059663237551,0.00344371995842504,0.748054611490928,0.0050112214123241,0.00270423479332107,0.0126108210876409,0.00296902281064937,0.0166091834602945,0.00307141964058907,0.00294816682042817,0.00629689827005407,0.0056385091017698,0.00291709298986106,0.00705127984446874,0.00322845019469231,0.00336894342124932,0.00567882820850621,0.00525272257080022,0.00521215918784605,0.00395005425880745,0.0125141106473857,0.0056122134592574,0.00404836902045164,0.00399244589696787,0.00813797855601787,0.00737497160283364,0.00782154481455041,0.00411567552189915,0.00421107798504005,0.0151965654492283,0.00855836402966757,0.0101864496303669,0.00768413231909804,0.00266717350350433,0.0029481817996483,0.00291228864645733,0.00924575374215512,0.0140289879776183,0.00614354184321645,0.00514016143296525,0.00574121074564891,0.0126428441536448,0.00753769906118407,0.00687779123750788,0.00435621588543476,0.00816852821463764,0.0127478844527338,0.00328913618200595,0.00310743059437147,0.0114771629393697,0.00339568059305642,0.00414005874380499,0.00996505893073584,0.0206498278184803,0.00289861178383644,0.00270015138083546,0.0111259341698304,0.00424096570421701,0.0059047980230762,0.00325040482327225,0.00339888184362177,0.00502315262143374,0.00237069207003817,0.0130172391554283,0.0192660235133463,0.00297774533091059,0.00801346505121945,0.00618546715046672,0.00876898457573039,0.0127618543468269,0.011111216763202,0.00820557399176254,0.034511069811011,0.0146981563803959,0.00434724276675954,0.0187308319593839,0.00395543247862751,0.00535078096879649,0.00394129899783271,0.0156549077647738,0.00339920192419864,0.0139409829738131,0.00783749266399545,0.00539263574246599,0.00479234948056808,0.00524939811345776,0.00976159247130987,0.00273010095535953,0.00355943847465596,0.00625621435578323,0.00418940650960015,0.00253623220695037,0.00389792226057698
S143,0.00488458832615865,0.00477745896457131,0.00392416425663847,0.0041473881718549,0.00394908711036706,0.0050112214123241,0.735247063059289,0.00666810733544162,0.0112402719224959,0.0166089077216308,0.0116202611109255,0.00954890082015116,0.00392008182044797,0.00343068517590482,0.0122457796185616,0.0155061589438002,0.00454130102162242,0.00446302706611516,0.00779914239324729,0.00433875347930319,0.0105035346765218,0.0127050088245866,0.00554296223735906,0.0060000205113067,0.00401975899403821,0.0135733032249692,0.0166221847228855,0.00377111996758592,0.00472191161812073,0.00384521032741044,0.00578884771790632,0.0151556618352168,0.00380554457308493,0.0104742375787645,0.00465990777662586,0.00460544747868647,0.00406299551323511,0.00491384006132784,0.00401484936815885,0.00568817496329252,0.00367062372351763,0.00691642765918931,0.00952236473425539,0.00373608296952506,0.0039281390364531,0.0031134098950452,0.0043244196322133,0.00430707725084394,0.00593142708433293,0.0049927611296035,0.00726979675968813,0.00477788711118531,0.0138680614745894,0.00455476459596239,0.0065140227731043,0.00620723819013419,0.0113341839646472,0.0144225180853745,0.00673649486675726,0.0119611085432181,0.00566797066397076,0.00346647802191648,0.00510783281376719,0.00943309948188603,0.0137251373309006,0.0126206737376513,0.011058925597837,0.00465031801623442,0.00672733303009828,0.0504808829292986,0.0053612497719053,0.00327954913151972,0.00537484438397483,0.00515544202350566,0.00310802849847308,0.0105620375349907,0.0330482848450982,0.00408233063558509,0.00531438973531333,0.00468225480014906,0.00446257818403053,0.00403994598452848,0.0141506300663347,0.01663580003333,0.00583760000824443,0.00257725964676519,0.00585203434248555,0.00479771716972641,0.0132981638236067,0.00458491093490303,0.00443216805964387,0.00882401427609211,0.00419023330626443,0.00976375632237304,0.00488136661510946,0.0046724766390503
S146,0.00400590289970661,0.00539744401332214,0.00457386055424984,0.0108786941876964,0.00504505410158598,0.00270423479332107,0.00666810733544162,0.735669527064717,0.00727470137517665,0.0153215601075978,0.00483788036224276,0.00832021180650694,0.00690561374233314,0.0128520887699226,0.00412941997415199,0.0096930533719449,0.00348813993634575,0.0111423924007783,0.028756889536151,0.0114718266329681,0.00790860427085656,0.0106546713148888,0.00438287471720315,0.00501656382153283,0.0038412860546986,0.00547513412841339,0.00615081436510305,0.00353885226740625,0.00589995095052165,0.00349950750964499,0.00703112788266139,0.00439180463373278,0.0027844959047513,0.00487347047938355,0.0125514491651631,0.00300118211342149,0.0204380466059921,0.00960335634754082,0.0261007062812702,0.00638075481814846,0.00533713051191155,0.00835809202798206,0.00484952306712838,0.00354085645390096,0.00421508776279073,0.0041016607859565,0.00301863176337418,0.00480922668315881,0.00397663957581369,0.00513019771825131,0.00648269186703767,0.0130092646593326,0.00359047767863437,0.00591219174693097,0.00951552989463286,0.00471805467640137,0.00707713863564713,0.0419290843919196,0.00737267132672407,0.00848582106174542,0.00634083414311699,0.00416841917331299,0.00536480548558258,0.00876995920050531,0.00626374546202435,0.0169083160418932,0.00385091163231889,0.00340184337090422,0.00899589491723968,0.00381533542238535,0.00490908832165298,0.00577624317465862,0.00535711413804604,0.00425602009870555,0.00255748909110643,0.00317174888727747,0.00757677666311174,0.00359459981844339,0.00534959759667728,0.00713976270653522,0.00867537708285652,0.0163273939710241,0.004370444908685,0.0061766401282048,0.00453878140835362,0.00293547957420892,0.00756391819869732,0.0118372722490575,0.00705997550087549,0.00362618927713585,0.00808110523362033,0.0139163422926958,0.00599301879599233,0.00623282574499897,0.0158895132030622,0.0164488897706062
S153,0.0278096185627932,0.0152329266946732,0.00558467738377914,0.0108593591064388,0.00555620491585865,0.0126108210876409,0.0112402719224959,0.00727470137517665,0.693327573838919,0.0132696330713625,0.00322373824982649,0.0100846446704833,0.00877328853983944,0.0135139498334139,0.00258727739215302,0.0261603655647155,0.00242373147087118,0.00880667699241706,0.0099681124490679,0.0108291709912999,0.00874072913009522,0.00241170594090515,0.0065760890081625,0.00326310031886926,0.00370926780627833,0.00698797996990845,0.00842824909850618,0.00312679019277283,0.00753828267121308,0.00395685952636434,0.00756835077615749,0.00494497819327696,0.00378805738330877,0.00931746490087513,0.0118337475369484,0.0186987604552927,0.00707947194493839,0.0152088903704012,0.0107972412407903,0.00373313789359826,0.00348582752162922,0.00485223282537553,0.00640118397364218,0.0035387732167348,0.00427720936553863,0.012498609993111,0.00236281953138,0.00529977962023809,0.00284916861526978,0.0253878856830697,0.0118648075700946,0.00649528188049775,0.0051159774555066,0.00943606759070436,0.00960829550693082,0.00546914460627234,0.0184081668387135,0.0112708668279176,0.0147124320062962,0.0101676493010861,0.00702843587800205,0.00623081636583429,0.00708376624078974,0.009669481224018,0.00818741448343605,0.0107179265307817,0.00413190207050609,0.0085759465286773,0.0278928876667039,0.00388240869805633,0.0063172721858674,0.00218531348818438,0.00469926436964022,0.0110299162437637,0.00370516987926434,0.00588037444995147,0.0158036094252947,0.00371534316885884,0.0145310384849616,0.0105637662103878,0.0108473393663989,0.00756414804344043,0.00507429652472271,0.00853062630108074,0.0130967033216119,0.00286158393127036,0.00388801959022926,0.0106791380315938,0.00355010969723586,0.00570536065797185,0.00972704158937535,0.00547272835662671,0.0291757025032814,0.0203605229784942,0.00704665145768952,0.00483476106843552
S155,0.00425766495280541,0.0104436778799263,0.00739236295363136,0.00867676608528343,0.0076851262808699,0.00296902281064937,0.0166089077216308,0.0153215601075978,0.0132696330713625,0.693493489788408,0.00347471221891501,0.0319224349306159,0.0103404375111427,0.00342907780301909,0.00301842588117864,0.0241632565401355,0.00148145965818504,0.00938468899395031,0.0373441057261531,0.00352892532546331,0.0153144023925918,0.00277780114253946,0.00531563846022971,0.00296563432587432,0.00287140553786618,0.00574239321120852,0.0086766309146275,0.00213375246364991,0.0089193621335181,0.00329095956102754,0.014753793832403,0.00444422959110151,0.00165720911252619,0.00739711053552982,0.00717957268583143,0.00296175832915162,0.00931951761090872,0.00552848989574941,0.0148782781962595,0.00362648682921592,0.0022097575610757,0.00928620355780542,0.00948052908936955,0.00287448576431343,0.00644369611504019,0.00328644852450157,0.00128381756392442,0.00566431671451991,0.00192938614817552,0.00472094251960885,0.0135040925820793,0.0170163447331935,0.00377986108733222,0.00556067737853692,0.0276186541902441,0.00458340227343397,0.0208195088090595,0.047080956915417,0.00543920432190755,0.0203840741392489,0.0142615397454712,0.00540656734559976,0.0138961953241332,0.00717322179022778,0.0157288896034376,0.0309384220886598,0.00387514939694596,0.00274341580256099,0.0108623349626265,0.0044166453704671,0.0172595420188391,0.00129754041177452,0.0130001196660509,0.00502987746468375,0.00134229076104823,0.00298796619655089,0.00423223182391864,0.00266212409070425,0.0154705734528132,0.0129408360866199,0.00412868630932047,0.00979347032076698,0.00873758769139662,0.00723509602044227,0.00589808875950884,0.00119282269257958,0.0064788943040378,0.00722189586505599,0.00339619683348194,0.00439639292407204,0.0119566551414032,0.00791455596160174,0.00722722181754347,0.00769290288755375,0.00979995647058313,0.00448219679578582
