Row,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
S118,0.706914927573762,0.0314161598106743,0.00528545756095091,0.0129891758058216,0.00330916282715465,0.0489967970299455,0.00737183982456803,0.00847481928909084,0.0308656542183424,0.0105854309531337,0.0147416169188148,0.00777588494718904,0.00538719797605964,0.0121078188621109,0.00128697248440769,0.00546392441508608,0.00114231624598333,0.00615976020086589,0.00989764047065868,0.00557253695245123,0.00525718275347656,0.00119016601659226,0.00460417838409543,0.00203964696970036,0.00447254603252122,0.0110356772229014,0.00495505072653191,0.00113841156981222,0.00350842033125413,0.00257492987467065,0.00341713745308388,0.00308739787064171,0.00153465361439223,0.0125662175004255,0.0170448367945321,0.00111787025067648,0.00689863625067138,0.00551447158403427,0.00789344174970862,0.00198260827747215,0.00120330809405627,0.00431467951625357,0.0134748014052662,0.00317490114060664,0.00229240831515921,0.00972255994655217,0.00105043381350598,0.00329821130837662,0.00193447859076431,0.0171187602388784,0.00730165527297216,0.00414504843225339,0.0103108759189872,0.00411089094082956,0.00553311327492989,0.0126345197573633,0.0352314087327602,0.0104086324613976,0.00516412622797912,0.0115609463099865,0.00425446517272202,0.00453991067134075,0.00485886046250316,0.00582769319919231,0.00892686583808478,0.00614681842064727,0.00628375786452296,0.0114653817117752,0.00645218169051972,0.00497844346691968,0.00577672613956995,0.00113056808017151,0.00204149785942299,0.0130144248506866,0.00122511076760255,0.020211866765457,0.0200219093318729,0.00419376881767453,0.0304164930129131,0.0176955035309254,0.00307328146040683,0.0124399262476336,0.00740310741274162,0.00690992473581394,0.022501634198033,0.00104120480025685,0.00135694165783473,0.0102413789845584,0.00587757435899675,0.0070365638091519,0.0075531060894716,0.00522232438351334,0.0171329844355899,0.00978630646735008,0.00463468610357375,0.00478427987060211
S121,0.0314161598106743,0.668276024322305,0.00744006512593428,0.0312119823041605,0.00567673875691115,0.0147514422860955,0.00525787668031221,0.00771525399096489,0.0195353655191165,0.0113107683985447,0.00504113495068553,0.0149065276511228,0.0134539129236359,0.00650346938785257,0.00119565960628268,0.00868128180703731,0.00100960929602973,0.0169750917525235,0.0164502237467296,0.00454573079095593,0.00541171950049047,0.00104309745285753,0.00671897686771071,0.00158221912222662,0.00274508429961865,0.0184876499712642,0.00881885694030493,0.00102618755751881,0.00462790979268741,0.0039775497630165,0.00492372703802641,0.00289102663511653,0.00140528627025662,0.0153822799440185,0.014681485870329,0.000994746352166455,0.0107964492050557,0.0141235701536001,0.0179736883363294,0.0018657380067702,0.00111521158811021,0.00335904734621481,0.0341590320796807,0.00236421850890858,0.00155687697436138,0.00657572000716126,0.000915523502796149,0.0057927044600899,0.00149254701063842,0.0111575031944559,0.0162456550846762,0.00911586003567175,0.00588104709852078,0.00976411799310838,0.0128083522227282,0.0208962081629566,0.0246734658219449,0.00738087178887854,0.0141554170767624,0.0160037087896866,0.00613049946965543,0.00308590940505092,0.0118872018680395,0.0167933657597025,0.00803025824056142,0.00606750589111356,0.00363287046699066,0.00470039808117923,0.0172853419609781,0.00280248956637876,0.0176207076719599,0.00102267398827351,0.00214822685780368,0.00909006431702724,0.000980326976166134,0.00517194317136111,0.0118120832829905,0.00449652828706535,0.0279952742336877,0.0397046887332344,0.00298720607109281,0.0196298328390286,0.00461181374533033,0.0136207110606919,0.0178204050885685,0.000930571849400192,0.00123680500892196,0.00700327046390697,0.0061555746687971,0.00503677155877189,0.0154682867698775,0.00671295578409063,0.0202723415717838,0.0134853857084892,0.00707297390473689,0.00569794137036219
S126,0.00528545756095091,0.00744006512593428,0.673427076438476,0.0156663396490986,0.0376153896522235,0.00476056279446907,0.00295216117751495,0.0105286257540216,0.00669502229244951,0.00760611535248245,0.00409529615096758,0.0135027170781883,0.0487533449599767,0.0174366458775401,0.000985113655389199,0.00507189277019049,0.000957907173686681,0.0342773656756272,0.0128886487990575,0.0129176065195141,0.00559759417891256,0.000957197182826282,0.0041497130591838,0.00209175283456929,0.00459630889025031,0.00896795241654474,0.00435711724493049,0.000908230936519774,0.0162544267204144,0.00244790142071124,0.0135805672701998,0.00200090125876913,0.000991900274066084,0.00839719295795312,0.0227977218215423,0.000918414737436881,0.0190562363376558,0.010426268953621,0.00691124720194729,0.00204344211488762,0.000942524549351875,0.00273806986674048,0.00644778291505135,0.00283900497526968,0.00143163869116935,0.0434596866473952,0.000867670696302654,0.00404936571697104,0.00129893755868284,0.0087366225972319,0.0099453017572486,0.0318660112600111,0.0108551052878334,0.00670233636240486,0.0140071962706238,0.00762577551600759,0.00436540183439854,0.00645715441235482,0.00678854479913513,0.00356237436279931,0.00342633759860177,0.00281605973557847,0.0115674173121251,0.00798352038847272,0.0169107211927407,0.00384067293763233,0.00288031025920861,0.0202412775230112,0.0072346368554912,0.00297884986167948,0.0084016471773856,0.000970555533044631,0.00118403808337088,0.00878228227174443,0.000928723707687359,0.00406305791442397,0.00407151632509522,0.00340930089852464,0.00542948790307119,0.0128344162993575,0.0022856868876323,0.00678885066195588,0.00474399941609018,0.0256648086526396,0.0159408408031565,0.000890359544948147,0.00117462675448241,0.0285375652862152,0.0158936756670227,0.0356216970953187,0.00944339856627011,0.0105831209975259,0.0216970707813642,0.00885336732997694,0.0241757693374828,0.00362050002757917
S127,0.0129891758058216,0.0312119823041605,0.0156663396490986,0.654282735060285,0.00923608904278543,0.00502278995761913,0.00342149815513271,0.00954239455164611,0.0118535386501669,0.00888609135643831,0.00434425989991699,0.0135365490242528,0.025774176957779,0.00720475209863514,0.00128897092164349,0.0143857400038523,0.000945187119714869,0.0361285569017886,0.0192928712098166,0.00513935629883124,0.00688436297496716,0.000968961894469795,0.00731467567296959,0.00140622789826153,0.00263095630136359,0.0177852512966243,0.00835056994552031,0.00097056161000542,0.00551583497602822,0.00267197562591462,0.00604829190853351,0.00412365353981643,0.00114692253793218,0.0171037330012073,0.0164269997758911,0.000925533431361658,0.0236684396024337,0.028441938229351,0.0232135918622466,0.0018042622763177,0.00101922576996085,0.00356154611930862,0.0192252419960293,0.00194260006375847,0.00134083287595699,0.00904297986370739,0.000857400650645424,0.00860032169205783,0.00145199917295473,0.00790161963583514,0.0171513159317437,0.00925812429803082,0.00595753575105222,0.022446988010237,0.0186190563937944,0.0188489229509894,0.00904618172046951,0.00738185464541809,0.0239394279326936,0.0113431623677531,0.00604500665992537,0.00257127693108478,0.0183898664467704,0.0297292215443109,0.00603264067207741,0.00422564568485275,0.00313205788429997,0.00532987668490435,0.0248466658251426,0.00211439854784862,0.0103302722374953,0.000966747957263945,0.00187059774850812,0.0104474006757678,0.000909622066577289,0.0030221355989399,0.00471406006914563,0.0040931410807219,0.0134476228265852,0.030417473155157,0.00386988073409161,0.017149727861895,0.00310464079312741,0.0169917639938933,0.00960122477108947,0.000878915535805515,0.00122522013633443,0.0111790498681567,0.00757819223865971,0.00800817207991089,0.0183611017698829,0.0106922291625576,0.0270535593006662,0.0174897901706793,0.00952281181243607,0.00838497807046686
S137,0.00330916282715465,0.00567673875691115,0.0376153896522235,0.00923608904278543,0.714406530579041,0.00319237511800301,0.00299454859404212,0.00691325390615236,0.00441767005269186,0.00634296266557345,0.0033545451849862,0.016284678859142,0.0416499615693581,0.00720056219049587,0.00108140596730706,0.00400752606093849,0.00103963463204581,0.0216674550662385,0.00648442868210549,0.0146756949626553,0.00528443055112938,0.0010225537234969,0.00401741024838095,0.00223515950595942,0.00489432736460525,0.00718012262642354,0.00413767142187866,0.00100742557244476,0.0383849945105444,0.00259353587771027,0.0362229107387094,0.00218890840785599,0.00104000265034521,0.00505794479699961,0.0229463542959578,0.000988288846039642,0.0110681415448132,0.00649439456877055,0.00522493067755698,0.00203398873843046,0.00101158981554512,0.00233099752659598,0.00607815828481382,0.00274087671505042,0.00131847399544144,0.0186943959154498,0.000938364838239901,0.00317519652472982,0.0013629933258936,0.00476096234474094,0.00736373548966536,0.0459703471227714,0.00914208113220816,0.00555614247849364,0.0261186533597182,0.0183797063571315,0.00317672317552341,0.00483471803807683,0.00509599006197778,0.00293432669272562,0.00279700705256518,0.00203124081811491,0.00727938679337163,0.00531207691813494,0.0131015146700303,0.00320482706919849,0.00249754174519925,0.00770161764557488,0.00538367158042901,0.0029452777741443,0.009420700521937,0.00105792739436813,0.00120277075778196,0.00528951974097615,0.000987440082857731,0.00278047007280429,0.00306414699516334,0.00280892700626888,0.00439734066506317,0.00791746385631163,0.00199717660397695,0.00553152604970954,0.00355387169480078,0.0190114146033023,0.017114196232323,0.000960961492935946,0.00125396663859726,0.0122855825532856,0.0100842532300106,0.0265556284732431,0.00729018788797898,0.00756746487534646,0.00886269240164764,0.00621347296709321,0.0310270886040343,0.00342463746164464
S141,0.0489967970299455,0.0147514422860955,0.00476056279446907,0.00502278995761913,0.00319237511800301,0.753803571286358,0.00759529632618456,0.00727558438293864,0.0157216211506295,0.00541450817676697,0.0348894503571673,0.00361229289821112,0.0034978769803808,0.00952515291901168,0.00194039902628684,0.00369060488304697,0.00166850600819158,0.00327090404976467,0.00863430996607693,0.00690635394227509,0.00353962343148433,0.00158066356726116,0.00440234542030765,0.00204931421322396,0.00709444147955549,0.00604283961939123,0.0050468782587284,0.00163086040312375,0.0037077688509974,0.00310866260032755,0.0032468041964523,0.00385239318747337,0.00148853704755243,0.00856448649499503,0.0119610551768086,0.00139168277180298,0.00319068417674697,0.00612912997931494,0.00420453987735461,0.00259940102711232,0.00144880329559564,0.00722377737859632,0.00443977972001993,0.00541002613504271,0.00347895204850285,0.00803914320213886,0.00135664903590439,0.00328247548262141,0.00232986274615575,0.00999351794564189,0.00636454362188144,0.00323336645206498,0.0170205299618077,0.00296131191252248,0.00385960806211584,0.00603893397468804,0.0305741930998185,0.00563980202470433,0.00369773318817618,0.00431055261193055,0.00277724512786379,0.00456468351288604,0.00282904333782505,0.00322974263838557,0.00548338691182934,0.00323128112060506,0.0171437895323706,0.0228635136497023,0.00338832563865535,0.00788355830538877,0.00297243833026944,0.0014119681151956,0.00185150776983136,0.0164008902342583,0.00138491015590961,0.038779102653524,0.0176085871000311,0.00339879113234581,0.0171253428987181,0.00720359795649257,0.00251447109985924,0.00475222388539887,0.012405781848258,0.00467706500961436,0.0159445120846274,0.00130767067868366,0.00176706037787508,0.00661957189104066,0.00867575883884851,0.00657899489043707,0.00909826549200738,0.00855447315975306,0.00735144608077795,0.0108078795285592,0.0039013534751432,0.00344158011877561
S143,0.00737183982456803,0.00525787668031221,0.00295216117751495,0.00342149815513271,0.00299454859404212,0.00759529632618456,0.76014112179297,0.00585244760866601,0.0133535490442935,0.0233032990270458,0.00760579881148767,0.00884642396031093,0.00260855298215326,0.0087939540047121,0.00309115480380224,0.0168888203032546,0.00267808062115095,0.00285204552624163,0.00550375938748656,0.003878942175078,0.0114932836909076,0.0038257882494866,0.00409063794041463,0.0046799392055671,0.00421974618602162,0.0115223499020564,0.0199467595515006,0.00229870268892983,0.00311994146399783,0.00300091652334696,0.00426177086791093,0.0130243035599264,0.00211494126791351,0.00490305729380093,0.00741735267844324,0.00184309163595012,0.00380547374423099,0.00646530804578444,0.00420290398495034,0.00566411982259608,0.00199793101382568,0.00584744125065878,0.00477121802915662,0.0036719038361541,0.00380945907150882,0.00388236965574527,0.00290230371672238,0.00319273538226815,0.00562807067854513,0.00705887164593844,0.00575765075083635,0.00406654301255603,0.00903184450808845,0.00326041844315635,0.003673122054761,0.00447849381521586,0.0141121232250431,0.0153990073104266,0.00337414191716213,0.0109199060058661,0.00624534503038198,0.00405360201582852,0.00445518196454772,0.00517453226911217,0.0143435850909076,0.0183272721577002,0.00969399995311377,0.00512314445911839,0.0034790463534385,0.0534255363492672,0.00460901489163914,0.00260949761538113,0.00331559466636453,0.00610804326609324,0.00223386909825508,0.0147694307903128,0.0484020331398957,0.00855025589171113,0.0105135627648695,0.00485990581371543,0.0028558231082525,0.00582941185673458,0.0161333757602853,0.00443288009987306,0.00749173479327231,0.00223688825402069,0.00283114825661583,0.0041785186493322,0.00465663446104162,0.00328704110477275,0.00475074437826355,0.00839961424823954,0.00456516724978227,0.00457861798089566,0.00334773935032324,0.00400584628027562
S146,0.00847481928909084,0.00771525399096489,0.0105286257540216,0.00954239455164611,0.00691325390615236,0.00727558438293864,0.00585244760866601,0.730287284280862,0.00996485318898831,0.015560356263621,0.00883772422190506,0.00991028000734204,0.0119323655481119,0.00425671966683805,0.00133628897091366,0.00990879985102412,0.00119971412520518,0.0158820772923737,0.0325103297152628,0.00323761976157135,0.00637900799800625,0.00121617996709584,0.00557388189051577,0.00256521357410446,0.00203887700031189,0.00610809705203801,0.00617411131466624,0.00115405700127039,0.00435036132492619,0.00214805899772838,0.00393527366265376,0.00320256973264911,0.00131675400357595,0.0123664810978268,0.0123211044732126,0.00111465482549372,0.0293091969928079,0.0101735105908121,0.0128882152787943,0.00215318921379892,0.00120161457626426,0.00670114480074353,0.00730577871501736,0.00176101009294383,0.00189726450258285,0.00600091755569645,0.00105700517922795,0.00443149101473015,0.00178877776587966,0.0053585729402558,0.00642226832957706,0.0125491462489727,0.00346168391438908,0.010172960879232,0.00515536747577926,0.00604079519608485,0.00694924931265498,0.0579406576120537,0.00832962592562698,0.00571154645262779,0.00639702610043659,0.00284355540199125,0.00992805674449441,0.00926014383286479,0.0140071522768657,0.0181386641936928,0.00304842906339349,0.00366775074168631,0.0107559704698281,0.00412204807497951,0.00738002364249689,0.00115433417050353,0.00168839050699774,0.00484330107672315,0.00108467038212231,0.00277934456743361,0.00412668491714819,0.00426354802514817,0.00605795176054567,0.0105905019459132,0.00814787668289658,0.0185501082468627,0.00356425978051476,0.00699150811881006,0.00625441539611001,0.00105587915599205,0.00179981789337554,0.005965879647186,0.0125052134829756,0.0069349206677553,0.00700578521553151,0.0187964322569269,0.00761530691294531,0.00586853979636659,0.0177159431852549,0.0137851341892489
S153,0.0308656542183424,0.0195353655191165,0.00669502229244951,0.0118535386501669,0.00441767005269186,0.0157216211506295,0.0133535490442935,0.00996485318898831,0.687466186600131,0.0286992451951539,0.00505088629553259,0.0115411737838886,0.00796846842906645,0.0188610898856365,0.00122177387188992,0.0130094625061989,0.00110907165646324,0.00855617905555666,0.00981326382864921,0.010376277472953,0.00953651661950216,0.00121297920700595,0.00678077935876736,0.00240931469202247,0.00326118825072624,0.0080180245751983,0.00533237706830472,0.00106563553874074,0.00357688997277957,0.00209875752202413,0.00332917253763009,0.00295842948780407,0.00145914986336047,0.0103853560351055,0.020255713830342,0.00106194052368675,0.00698013519305855,0.00766809689210374,0.0166916891015662,0.00207173238628998,0.00116365025861607,0.00413404013226545,0.00906319926839901,0.00248984648104888,0.00229607605720318,0.0130392618307894,0.00101051978638202,0.00352293683435215,0.00223119912805998,0.0389362523212337,0.0102646410527042,0.00579259601159239,0.00530691747775363,0.00533759301685778,0.00697544691946533,0.00717468990533567,0.0270296209184524,0.0145722050756886,0.00632792842090872,0.0103369149422014,0.00629487163230298,0.00942126397273199,0.00631071744158036,0.00858942496756093,0.0167862406542334,0.0174807958651656,0.00404010509205807,0.0061674411774822,0.0123646909881634,0.00532144829536288,0.00637235522367935,0.00108627361196345,0.00193203271520594,0.00809837490163887,0.00104790272532807,0.00762323893354048,0.0128900074088345,0.0111446285535587,0.0384525274076715,0.012506766228129,0.0026175424619767,0.0118837501137058,0.00582240671033323,0.00669408560772651,0.0248698839628094,0.00099410220478755,0.0013462539166369,0.0117696500622953,0.00849927594261816,0.0061411711964012,0.00885224033700404,0.00488448568124286,0.0288654606789309,0.0083174031040002,0.00549752412280266,0.00446476266671911
S155,0.0105854309531337,0.0113107683985447,0.00760611535248245,0.00888609135643831,0.00634296266557345,0.00541450817676697,0.0233032990270458,0.015560356263621,0.0286992451951539,0.690400617279223,0.00448604481904975,0.0260078005948355,0.00822136745314782,0.00544342900490908,0.00155291532401674,0.0222632946815644,0.00142274358863659,0.00966802158353568,0.0123179797695416,0.00318156045297481,0.0152867845344683,0.00157993760572068,0.00735401808485341,0.00303975286545908,0.00222660573041303,0.00777020634858476,0.00931787119585205,0.00131009735077414,0.00387556093601787,0.00321517297561948,0.00370412921389194,0.00442963167003701,0.0015865126796281,0.0107821505661418,0.0156089636940639,0.00116786020481604,0.0123649099266439,0.00603313270769083,0.0167289385633146,0.00255558047924671,0.0013068651610211,0.00779136791942884,0.0132459653949254,0.00216373495054255,0.00241480267771104,0.00466227683165789,0.00121195789562401,0.00348950694220688,0.0028123128947399,0.0159991421095611,0.0156353484878059,0.0134799361866902,0.00422378699481334,0.00538022862550081,0.00490804610440251,0.00509448647095381,0.0223058551447373,0.0293667254742029,0.00615944243682934,0.0150843828432069,0.0132601426852804,0.00455635761097416,0.0142337827323871,0.00876475810644278,0.0255540849709931,0.0369395355735787,0.00381311040657565,0.00306639448828415,0.0113079409719054,0.00624783920356335,0.0151343197767999,0.00129179630931496,0.00230884551845768,0.00489249248590675,0.00116115958398181,0.00341017250978078,0.00830351781672702,0.0147953062022134,0.0243662642466573,0.0115630752106477,0.00362779405884792,0.0127932765388657,0.0070686593902654,0.006222662211351,0.0197773022984127,0.00111203360918136,0.0016804502208241,0.00672708126100364,0.00570484910670925,0.00430904998306416,0.00922346028543406,0.00543446948753879,0.0076902306575125,0.00582410490325496,0.00714649387200751,0.00514768770691725
