Sample,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
S118,1.0,0.46882485311751465,0.5313479937304013,0.44942741235685313,0.40774665922533393,0.4459809000000001,0.49580309999999994,0.33085175037223746,0.44548482227424113,0.32017956798204317,0.4581402709298644,0.43787475621252436,0.41421600000000014,0.2590035999999999,0.3338586831494609,0.4479207119801779,0.3731652626834737,0.41080769729807565,0.35539037107807425,0.2783634860818257,0.3589183820540808,0.31866378406681084,0.376156981192151,0.3851093192554661,0.4532781320082804,0.5304836265241812,0.3041839847908008,0.5469532453046755,0.48037732401886635,0.390312180484391,0.4679770000000001,0.4008545200427259,0.421161421058071,0.45809456257163117,0.4175411000000001,0.48765734876573485,0.3801743619825638,0.39220838038958095,0.35708785356317796,0.3961926,0.40748675925132405,0.42601953609706955,0.3546744532011681,0.5486330725683463,0.3538943353894336,0.3809575619042438,0.23935272393527252,0.2917416562387515,0.2754872275487228,0.3995820800208961,0.39803258009837106,0.3054845847257708,0.38707294193905883,0.15757101575710153,0.37176724423491336,0.3452407309518539,0.4744574762771262,0.378956718947836,0.376614881169256,0.3458837,0.47928002810799575,0.43090660000000003,0.5645806870838626,0.3654414817279259,0.5007762248835663,0.38061000484749874,0.36418214537267823,0.5369583926083215,0.3492358174617908,0.4142343964414009,0.426331578683421,0.2038960490259878,0.4254375361843695,0.4496320550367945,0.3430298828485059,0.47204257639787117,0.49075295092470494,0.4752277762386111,0.3899285050357476,0.3803094429535835,0.3748369875489038,0.44619033307144995,0.39621786037821394,0.43923310000000004,0.45604236318729097,0.2254331999999999,0.2704319594352059,0.396683,0.3805965951491487,0.39137371956868594,0.3487070174353508,0.3516209648379035,0.4664324766783763,0.46249904624990457,0.3911458586718789,0.24415603662340546
S121,0.46882485311751465,1.0,0.45881570823685847,0.5476373369093342,0.4128192587180741,0.5449401,0.4811362,0.47076102938584563,0.5750261287513065,0.5536310446368955,0.5104638447680777,0.594192540580746,0.4152648000000001,0.3096909,0.3620950732667244,0.5190689297672325,0.298231570176843,0.512720971819757,0.5211188042237609,0.2805342859732858,0.3538685823065708,0.37712818114359115,0.4973210751339463,0.44368232218411596,0.3049093542635969,0.6022993301149666,0.5303176734841164,0.4323788567621143,0.5863373293168666,0.3589726820513659,0.6062619,0.4678471233923561,0.5026195251309763,0.5273727417881774,0.3676675999999999,0.43860034386003444,0.3860611613938839,0.5338947733052614,0.396592859488929,0.42048870000000005,0.4742026525797346,0.4866638270004259,0.4738327710749157,0.4090889795455511,0.41913724191372437,0.3872665612733439,0.38671053867105387,0.4065691390146292,0.3331276333127634,0.48323497583825126,0.5438333728083314,0.382382680880866,0.42793673580948965,0.3816479381647938,0.574078513888223,0.4992314001537199,0.5888348705582565,0.5605355280267765,0.4695346765232661,0.48352799999999996,0.47759472836079064,0.45959739999999993,0.5290901941819612,0.3875798806210061,0.5450767182384922,0.3826091043477239,0.4775396283690557,0.4851887029622596,0.4772144238607212,0.47833188041703,0.5155665742216713,0.3017874245531438,0.5960860105870984,0.49749595025040494,0.24350938782453058,0.6196135690193214,0.45348385465161456,0.38070968096451596,0.5762546118726941,0.5283196207520569,0.509470147158956,0.5001686249747062,0.6048201395179861,0.48284610000000006,0.5902584229224731,0.18728060000000002,0.4506791323981302,0.49974720000000006,0.46387041596760403,0.5056998252849914,0.48584292429214626,0.4585664541433545,0.5335938733203063,0.5857889585788959,0.45307636796145523,0.312605646890847
S126,0.5313479937304013,0.45881570823685847,1.0,0.41001356150203416,0.5650707869858426,0.37549446245055385,0.47037315296268467,0.3794851051287236,0.4229465788526712,0.36011262797747445,0.4146581512051093,0.526119394776121,0.5554262444573757,0.26429777357022255,0.33874634756414357,0.4532973679946052,0.31560753687849263,0.4454908440782046,0.38584403858440375,0.2943356558496515,0.4128230380765442,0.31076375338543705,0.3560250465962431,0.3944976802751159,0.5138323715419071,0.6174200691289964,0.2982878552568219,0.5042139991572001,0.4807774759611264,0.314488652826702,0.41159935884006404,0.44355157782242105,0.44870907756454603,0.40802883678846524,0.43467595653240443,0.33506239999999987,0.4975802004839599,0.4776659283501107,0.4500981225049061,0.36650526334947364,0.41586971682605656,0.3935042016239496,0.31444371572218577,0.5424143186378522,0.3707920000000001,0.4429208114158377,0.2459692000000001,0.287597928100518,0.3218266000000001,0.34959464756080283,0.44361493345775993,0.33819414927087765,0.4874324781418805,0.18834419999999996,0.40396369900907536,0.37055148883455336,0.4685879297118105,0.4158355792082211,0.37978384303242374,0.3537330646266935,0.41259339685165075,0.4288257571174243,0.5368487389453783,0.40746933887959924,0.5686369578407605,0.36249817312563937,0.3830395042401239,0.5360993391701983,0.35508788224560583,0.4296795496121576,0.3654408451838732,0.17993833702158213,0.40076109980972496,0.5679839864032028,0.356513746522938,0.5226440216033967,0.448334210333158,0.4956950256457462,0.4335265398840761,0.4018652995336751,0.4479135208345918,0.5004143748964063,0.37535352492929497,0.5315827468417254,0.5052354979058009,0.21044407895559214,0.3378542155364461,0.5004474499552551,0.4006978601046791,0.4788334760583264,0.41707717914614106,0.3587229282554143,0.4690760296385956,0.4768542,0.4373834218691711,0.23047611152380554
S127,0.44942741235685313,0.5476373369093342,0.41001356150203416,1.0,0.4185296046324011,0.4500022575007899,0.391416836995893,0.45029409005881804,0.5355193142077257,0.41239080309770093,0.3723944441408332,0.5755278438819611,0.3636183272664145,0.4514162579956903,0.2399321000000002,0.5262227157336294,0.1880491470122868,0.45701844570184447,0.4261602343881289,0.257354177206253,0.31288619386585803,0.26024107807232344,0.35691980707594195,0.3432387372954948,0.33292386658477335,0.45542498216999294,0.422861226858368,0.3632732908183227,0.5259279103711643,0.22179096653729002,0.5348494871973206,0.3919643567857427,0.387707955083182,0.432299721614986,0.286307300207555,0.40306218137798155,0.5795009448752362,0.49519364855809467,0.3888129944064972,0.35922762572966904,0.33690958422739614,0.4145416829083366,0.34899797449898706,0.4027974208392262,0.41202198540989343,0.29151687287921824,0.19148808616963875,0.4078641815728363,0.21355289609880335,0.39586111875833563,0.4794228438268532,0.5345370603611183,0.38148437629687515,0.3072174382478473,0.49953669990733984,0.33321954998293246,0.5296486588945976,0.43420847368338955,0.4250157275047183,0.3888111360838976,0.3624421724884346,0.42531854886149223,0.5531208829681323,0.38773291631987483,0.42476208495241696,0.34426213442621345,0.32582396516479284,0.43817196572579475,0.47658099063239634,0.3453248345324835,0.39774961932488584,0.16457351645735152,0.4522252904450581,0.49309472327368076,0.21745676523702973,0.4669905400971621,0.43630810907702733,0.39424341827302556,0.48273742758938576,0.48228959645791925,0.4361066218053311,0.4904418980883797,0.4655452163863042,0.399827039939464,0.4952387247619361,0.10531853686148795,0.36562317312463466,0.456108559637996,0.3503915102349062,0.4126706650682661,0.41605656642262656,0.3886613971653493,0.5942705782811735,0.5659760546892246,0.5553063776531888,0.25698602849301433
S137,0.40774665922533393,0.4128192587180741,0.5650707869858426,0.4185296046324011,1.0,0.3204701000000001,0.3041836000000001,0.351658047251293,0.370300718515036,0.2534338746566127,0.3580851209574396,0.3934972606502739,0.5815023000000001,0.25781659999999984,0.20997972650709573,0.3918648979662245,0.16871448312855175,0.5032716741820815,0.2960517592103519,0.451163077441846,0.19552169022391552,0.23748278812586043,0.30631028468448596,0.3127273156363657,0.5540938168859275,0.46426302321315127,0.2548995872550207,0.34335616566438343,0.4511409225570463,0.2646481867675906,0.4051864999999999,0.44592332229616605,0.4448519222425962,0.3190119042964289,0.38654350000000004,0.3631208363120836,0.5425780457421954,0.4265323786733811,0.3940764591114688,0.24123139999999987,0.26588317341168266,0.4242612363608147,0.2886188432928266,0.5456560727171964,0.3592291359229137,0.38047716195228387,0.19493691949369196,0.2705030594245412,0.24258032425803244,0.3058860847056959,0.42008247899587603,0.3393665830316709,0.43418593487210977,0.1735294173529418,0.30888015366797694,0.350607729878454,0.408968279551586,0.3194207159710357,0.32630278368486065,0.2724519000000001,0.3183878522418222,0.40831000000000006,0.5728911854217629,0.30715508464224583,0.4944137258379411,0.4857270785682304,0.272779759083036,0.44157871168425755,0.3124085156204258,0.3425026143743466,0.3141479842926008,0.16597455850636034,0.29982895502565665,0.49580725041927487,0.28342858582857067,0.36506938174653103,0.3074395692560431,0.44146687792665606,0.3314241342879328,0.48391222741316575,0.34186199744140067,0.5629844155523376,0.3431659656834035,0.40168670000000006,0.42326377302086815,0.1345162999999998,0.25677286148407064,0.3898014000000001,0.28140287035071754,0.39050861952543103,0.5619005280950264,0.3188546681145331,0.4974203751289813,0.47609994760999486,0.5701818855272828,0.16958912543836868
S141,0.4459809000000001,0.5449401,0.37549446245055385,0.4500022575007899,0.3204701000000001,1.0,0.4575703457570345,0.46956787652160614,0.4906354735953209,0.47424009999999994,0.5517927792828883,0.41076749999999995,0.32459803245980323,0.2995189299518929,0.38080370479907377,0.5098659784530926,0.35769070000000003,0.4375471343679298,0.456843537053061,0.20520321026016064,0.404936520246826,0.32719251635962565,0.34909351745467576,0.5205434780815217,0.25663058716847054,0.4882729732409459,0.4219948210997412,0.4940304000000001,0.5067539760130964,0.36616641830832075,0.4832094483209448,0.40393766059064906,0.5858829878824481,0.4702914059417187,0.30010313001031286,0.4170416834083367,0.3667671,0.4961052248052613,0.41569310392327596,0.4778632477863247,0.522534,0.4625289768735511,0.42497190624297665,0.3744413187220659,0.4529400905880181,0.33214259999999995,0.3935171787034357,0.3444708827764559,0.37647777529555515,0.4620032231001612,0.45088902254445107,0.31767591588379573,0.395019080249046,0.28317125663425113,0.45074357746282123,0.4837556516244349,0.5393111269655564,0.4336928650539298,0.4473547223677361,0.4804491480449148,0.43284227835788613,0.4237622423762243,0.45828615417138463,0.424167321208366,0.5056759747162012,0.3325935501109676,0.379370881031456,0.43380595661940435,0.43177946476691964,0.43236303514554475,0.4447969222398461,0.32679095098135724,0.5877346706132665,0.37587000000000015,0.3054416152720807,0.5650783282539165,0.41772929999999997,0.3493169174658458,0.5337243865102452,0.4202751789862411,0.4873097025380596,0.37188148140592603,0.5516893,0.3810586381058638,0.5211486957702609,0.2196036219603621,0.5084787745760613,0.4426019442601944,0.45527175934511566,0.5289956793493519,0.359195853879378,0.44690169999999996,0.5213881260694062,0.4666175933235187,0.36058389014597236,0.33951488487872117
S143,0.49580309999999994,0.4811362,0.47037315296268467,0.391416836995893,0.3041836000000001,0.4575703457570345,1.0,0.402943879852806,0.5219909782986466,0.43075510000000006,0.536778185288726,0.3615455999999999,0.35413853541385354,0.2838111283811129,0.4231836942040764,0.619415216795326,0.2840015,0.36476474528528824,0.36666741000022296,0.2024763101238155,0.3195368159768408,0.48680062434003113,0.43662052183102606,0.4985782747867412,0.2915701854214907,0.6084218912632837,0.48924312446215623,0.4794759999999999,0.4280929642139447,0.36844381842219087,0.46662494666249466,0.5097476764621516,0.4303084645462697,0.5796268840746233,0.26444792644479265,0.47350949470189896,0.3459806999999999,0.48217202410860127,0.431237807809452,0.4290311429031143,0.46315879999999987,0.44400217779989104,0.4981159245289811,0.364288518214426,0.3565299713059943,0.3737035999999999,0.4298668859733773,0.365522081723896,0.3355074671014934,0.34625271731263585,0.4229430211471511,0.30774501538725063,0.5549254722537265,0.22518364503672894,0.3839080808045958,0.32041936795806325,0.4267901213395061,0.43617316542597484,0.4487909224395461,0.3114453311445332,0.380232580988371,0.37192953719295374,0.4418148558185143,0.5403014270150714,0.5735744713212765,0.28481805727729137,0.5035684748215763,0.48583685141631483,0.4491944673791701,0.6118426082236088,0.38387861919393096,0.259924261011361,0.4085379795731011,0.43142499999999995,0.359143417957171,0.5879507293975366,0.43679940000000006,0.33971431698571586,0.38623394550642176,0.33993178300341065,0.4813017037396593,0.42114407894279593,0.3500611,0.5907568590756858,0.4576296084740784,0.15284771528477148,0.43154777842261116,0.3383877338387734,0.5865100052785018,0.44070226610534,0.31427614714142205,0.5235242999999999,0.3481959174097957,0.5858379171675834,0.3163197790799447,0.3346346836586709
S146,0.33085175037223746,0.47076102938584563,0.3794851051287236,0.45029409005881804,0.351658047251293,0.46956787652160614,0.402943879852806,1.0,0.5262766,0.4616064307590353,0.37156059564167254,0.3915430412685438,0.24951538752423075,0.38172318091384105,0.31888747244501103,0.5152830030566007,0.2977354553396816,0.4160786751763974,0.4663610699541604,0.30332536966746315,0.3214801678519834,0.5003454499654549,0.3700758629924137,0.42819720000000006,0.26188424762315055,0.4707705,0.5225974477402553,0.4688881296667805,0.4551109,0.29749577025042295,0.423907478804626,0.3981025,0.42816719999999997,0.465781436976497,0.31422048428897587,0.3420997171049859,0.3879868418019736,0.5513870448612954,0.5635877563587758,0.3961796801910159,0.36598514510222824,0.471548705690259,0.33840503384050336,0.38550196144980375,0.41545592077279614,0.30084695487295665,0.27915271395763575,0.2945806410838717,0.2910874145543708,0.33506896649310336,0.40348585965141415,0.34687306531269335,0.43890781221843767,0.3333921166696058,0.4046824190635161,0.337785215553696,0.4420724557927542,0.48826970000000003,0.42736435726356414,0.43783357810832113,0.30940353811929244,0.36025058198747095,0.4390677902330524,0.395427860457214,0.4351932129613574,0.3173102048069384,0.34376623124675376,0.3710416072395982,0.48066810000000004,0.4551895634431309,0.3490387650961234,0.3259798022060594,0.4545269090946181,0.40111403983289406,0.3244370675562933,0.502512849748715,0.43653983451902467,0.35141916485808344,0.44923805291907093,0.4055630188873962,0.5559268054256181,0.39103022179395563,0.3819341427098786,0.418711379064431,0.4927880275241904,0.21637458918127062,0.448012510397498,0.4715836764208161,0.42009088401817685,0.3842135,0.30064120000000005,0.4568318314752253,0.39606716039328405,0.5115693255784663,0.34710803471080354,0.4390147439014743
S153,0.44548482227424113,0.5750261287513065,0.4229465788526712,0.5355193142077257,0.370300718515036,0.4906354735953209,0.5219909782986466,0.5262766,1.0,0.5344026267201314,0.44424534451412934,0.5199934259996712,0.309343946401592,0.30540834581125176,0.3897617220476556,0.6579386631754652,0.2786150139307506,0.3782579621742038,0.5237068832974091,0.2305996230599624,0.3118284311828432,0.43270604327060436,0.4333630433363044,0.4540908908181781,0.2953856,0.5290451058090213,0.5686166568616656,0.4726527236326361,0.5153080030616006,0.35495263549526357,0.5725523858828578,0.44841468968293796,0.44641058928211785,0.533413319988002,0.23123153468473012,0.544927736231934,0.41407632070381606,0.603068160306816,0.4557883367365011,0.41389926208488936,0.41802092090104614,0.4715459999999999,0.5119479535843862,0.4252193425219343,0.416490204122551,0.4094628204731411,0.3558306889576721,0.47708189999999995,0.3123003780750946,0.45256704525670444,0.44228944422894434,0.3979879397987941,0.48385880000000003,0.37984349496087366,0.5000063,0.385697980715101,0.5352788535278854,0.5788810157762032,0.5093337509333751,0.45616416842462526,0.3713559999999999,0.42962516444377474,0.5132105743394711,0.4075695407569542,0.5119865,0.36222076377792356,0.41487399999999997,0.49752977512351115,0.6229134245826848,0.46544635345536456,0.46220864622086466,0.2589442741055725,0.5478887000000001,0.5103749255187462,0.3158657315865733,0.5738072573807258,0.4923814246190712,0.3877051387705138,0.5464649087372818,0.4826526000000001,0.5706349144047628,0.48438230000000015,0.46479742323987105,0.5676097851414679,0.5535213169718025,0.18551362782704428,0.5083131,0.48230277234541585,0.46036688414675353,0.46958529391705883,0.36966507393301484,0.5023291251164562,0.5353904535390455,0.6396553599138399,0.421262726378818,0.3504339051301715
S155,0.32017956798204317,0.5536310446368955,0.36011262797747445,0.41239080309770093,0.2534338746566127,0.47424009999999994,0.43075510000000006,0.4616064307590353,0.5344026267201314,1.0,0.4754023622988188,0.5327493467250652,0.3108538000000002,0.26951179999999997,0.4175100538714811,0.6487718621929655,0.29266247073375296,0.3943267014183246,0.7402697480539496,0.2043280897835954,0.3853863807306809,0.3294704835264758,0.39605998019700095,0.42463592123179617,0.21119436832084482,0.5409165270458264,0.5487284725635764,0.4207107579289243,0.5337188266859412,0.37773068111346586,0.5217752000000001,0.31398071569903574,0.39894801994740103,0.42604897218530813,0.26840909999999973,0.30725013072501306,0.300265269973473,0.47731057613447114,0.36935755540363335,0.38143610000000006,0.4439887556011244,0.3660647450902883,0.41585396237809436,0.3030334848483257,0.4615024461502446,0.41125515887448416,0.38042923804292383,0.3563823465426481,0.36439083643908365,0.37257988137100595,0.37144498142775095,0.423415978829201,0.39338164099275374,0.39090713909071406,0.6303262054510692,0.3892339221532156,0.5543778722811064,0.6396509319825465,0.3158368842081557,0.46856239999999993,0.34133064880040287,0.3401215000000001,0.400423919915216,0.41349567932521614,0.4163285375507193,0.3141928214517945,0.38152784277082363,0.4326312134737572,0.4291956214597811,0.4014172996456751,0.43407297829635105,0.30447912388021914,0.5440116183982573,0.37632086236791373,0.2984194850790256,0.5081334745933261,0.3748459625154037,0.3035742848212858,0.5755330122334938,0.38421034236844887,0.5072455478263356,0.2885639567154066,0.5416648458335154,0.40107839999999984,0.5066791479962556,0.2353636,0.4976875253468711,0.5221798,0.47659831914957984,0.4631084231554211,0.36726191836309585,0.40464205953579413,0.46025037698748117,0.48954184895418484,0.3482171522325729,0.3643906546585983
