Sample,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
S118,1.0,0.6210833775889538,0.5922807514062334,0.5870422535211268,0.47680620656214645,0.5888814167227079,0.5569007263922519,0.5428004041389403,0.6116062586650821,0.5914094813872097,0.5579453799349088,0.5655201775993675,0.5506006365720935,0.5753282653766414,0.4737587595049948,0.5542299717888584,0.4206606217616581,0.5738816086760055,0.5650220913107511,0.4862265627912178,0.4394127892510574,0.42626193464947315,0.4915606778736318,0.5098741868889495,0.4348766929075103,0.5882804111059978,0.5874842253730235,0.5299432961404793,0.5327730461861704,0.5076057962655901,0.540812055253244,0.5003195398625979,0.5018482921780275,0.5720684921609711,0.5188669006186462,0.4901997109933677,0.5393273850377488,0.5417524771711677,0.5882047958522358,0.482099895866997,0.4866911248146124,0.47966201611318526,0.5304782298358315,0.4980450503442787,0.4602044368492674,0.5729358447811925,0.37540661304736367,0.4670436254075695,0.44852279679009677,0.5859692762781943,0.5617811475936516,0.543797093649085,0.5730846243018232,0.40146822665749027,0.5381274697758128,0.5314565673847111,0.5673625608907447,0.5705573080967403,0.5194178535294576,0.5570183056028344,0.4848866498740554,0.5003482632264317,0.5734292443822013,0.553350471293916,0.5616171628845541,0.4752553985440754,0.5019925938987833,0.5802422973377206,0.5173512042996483,0.4943344204969571,0.5466744636976393,0.3803042747076538,0.5227770322762907,0.5458545622973598,0.4149002710403781,0.5693088918500377,0.5539761538186114,0.5248809890749684,0.6024299128327668,0.5542325178610088,0.5006492569614774,0.5348105594309944,0.5422061285143306,0.5962227058906129,0.6014610141516643,0.2726436076386226,0.5067410872214142,0.5338437857678494,0.5745495077094557,0.5470957613814756,0.5333930637996043,0.5699938195302843,0.5729318912598655,0.5480497456189938,0.5062119540066213,0.5008935021482073
S121,0.6210833775889538,1.0,0.5583984440494953,0.6234893503371837,0.46848148429777203,0.5485169491525423,0.5690651260504201,0.5432792411673332,0.5971489575483546,0.6084162017948096,0.5167326135068071,0.5986003426547029,0.5539271439248692,0.5595854922279793,0.5097597068564583,0.5727845036319612,0.3892908827785818,0.5871450713979487,0.5759559796614891,0.45255628765723543,0.45239208352812843,0.4416909097439212,0.5215504679252615,0.48936717229220994,0.41760411891243787,0.5896489323199421,0.5863980909601347,0.5053134411021496,0.5205799978728685,0.5030720917531404,0.5315273236805231,0.48988341481760056,0.4974480878137454,0.5667669995895471,0.5117314608665867,0.4708685141716007,0.5281814035316348,0.5462274176408077,0.5966557660270253,0.47274087678128085,0.5,0.5148965345300424,0.585199157986823,0.47250041044163515,0.49196151177872294,0.5153365997717967,0.40861525957533273,0.4651902416320831,0.4306308148451079,0.5700412101076574,0.583843329253366,0.5325746435649894,0.5447520069284835,0.4587844665800491,0.5531663777523697,0.5588882370196538,0.5614313065293457,0.5513894428932322,0.5429326287978864,0.5758164980390865,0.4885633667527166,0.49226319595083157,0.5694528691010554,0.5820560382700382,0.5532029126539377,0.49795608502686284,0.5308769935470928,0.5416637218177963,0.5702296819787986,0.5191244607764819,0.5485680716698487,0.39118091656527665,0.5594536689876808,0.5459179957759814,0.3931821178952921,0.5653286040721668,0.5302716819862294,0.4999187071180048,0.5990980906386926,0.5818641519748531,0.5460755516087165,0.5820507825183454,0.5268109125117592,0.5715046604527296,0.5945551632575647,0.32129415170816444,0.5160214854602705,0.5172734372094753,0.5637008676103832,0.5254864245024784,0.5371017254154757,0.5433277457911231,0.5460203305442224,0.5595150378458035,0.5428908753584079,0.4889606892837911
S126,0.5922807514062334,0.5583984440494953,1.0,0.5960203609440073,0.5270651773659016,0.5316905400808798,0.5430898856763277,0.5271869277363008,0.5733151032113917,0.5863187996015808,0.5128571939487143,0.5981704322200393,0.6177365799667958,0.5413334264659658,0.4471173786810452,0.5658446108401456,0.3757019305652334,0.5976389572060994,0.5629166201169329,0.4871794871794872,0.43970260847649856,0.41482564852590254,0.4995864920744314,0.4863202712292044,0.447463768115942,0.566649850595677,0.5529566360052562,0.4740269350303389,0.5228877248918242,0.49119737561509025,0.5197905436624057,0.48833353552509196,0.4634137221910638,0.5447305936073059,0.5072071412892368,0.41466156959748146,0.5291853085006764,0.5741702060720466,0.5738879979052793,0.46387335705468014,0.4724471657120285,0.48612167929334704,0.534420185494556,0.49884591172973347,0.45366227789850444,0.6066506783119161,0.35925979470868874,0.46434244628375554,0.44640128083836694,0.531621493105088,0.5524514098445764,0.577614629006492,0.569034090909091,0.4408248539482338,0.5320766671946777,0.5442524890795325,0.5262195336404882,0.5513942529142898,0.5174274349178842,0.5216628045783303,0.49476997424728963,0.5147031851806566,0.5850663752370544,0.5780102535679645,0.5775948460987831,0.4988421280143267,0.4727609811751283,0.5668570563982298,0.538629126864421,0.5329890602704356,0.5265970668655233,0.36576676431003086,0.4803113062725358,0.5539627358306316,0.41684521091637106,0.5295702840495267,0.5402939685757729,0.5363422400664544,0.5762089369516425,0.5538730981136206,0.4894043841412262,0.5255555171579638,0.5136366774839467,0.5854004755314242,0.5906818883060784,0.27759885142214114,0.47919153338107745,0.5386336396324412,0.5565995189416717,0.5764906844635125,0.5459969788519637,0.5569758805363356,0.5552640331103802,0.5822052362753152,0.554635761589404,0.46903131491882744
S127,0.5870422535211268,0.6234893503371837,0.5960203609440073,1.0,0.5006104012370798,0.5622743682310469,0.5602728285077951,0.5663710610256231,0.602589641434263,0.6130023035577169,0.5326404214423008,0.6101684551652451,0.6074711654329489,0.5843009107974693,0.5045396563367599,0.595616644442165,0.40211985324092947,0.621577198810981,0.6013488475505817,0.47086631898848164,0.4437761069340017,0.42351139192035225,0.5116454567282955,0.49719596846935177,0.4259266213526607,0.6023473090881013,0.5702331141661685,0.4996870512867715,0.5113486158842857,0.5288015089959373,0.5302432484198429,0.5026948757139409,0.5231043976486346,0.5490766322524356,0.5175665343867186,0.4673503636024613,0.5612096941241456,0.60381049254724,0.615590171413674,0.45680216802168017,0.5009430996541968,0.5222002635046114,0.5682476829933144,0.493124934730393,0.478472553699284,0.5739223370146063,0.38818747527067377,0.49960507171066304,0.4225964149918523,0.5864412510566357,0.6051951408632721,0.5684509711037423,0.5753366557098929,0.4890685142417244,0.5750640141816032,0.5530065768869401,0.5594763004970944,0.5698970235576245,0.5792979156871964,0.5590075135418486,0.5063635788007346,0.5237616829543033,0.6024196645755986,0.6275645667390779,0.5633883090514017,0.5296432964329643,0.5268798126397218,0.5710199473089952,0.5998398291510945,0.5298474650793115,0.5519695516291735,0.3888954518606025,0.5351762364980102,0.5747260433667521,0.421549433645644,0.5708694234044867,0.5513240857503152,0.5227217915590008,0.5932496022207929,0.5966594045025417,0.5220326678765881,0.570141038871689,0.5300525791264304,0.6073043232551568,0.5939218879636174,0.29462631253860405,0.5049273756282899,0.536978897587728,0.5889832093040649,0.5505413735872915,0.5697967158907301,0.5794508827875866,0.6026329337353828,0.6014219694276572,0.5672529283232439,0.4852451486967505
S137,0.47680620656214645,0.46848148429777203,0.5270651773659016,0.5006104012370798,1.0,0.43365300784655625,0.4313506617764312,0.46516862965791694,0.4724950884086444,0.45609331980872336,0.4203420342034203,0.48167395119936673,0.5249478202654274,0.44811658835709167,0.35875141292061563,0.46438757569837863,0.2936104990899512,0.5132502104798942,0.48178623467900916,0.45937133168123123,0.34739747634069396,0.3340604549703957,0.4049252970471746,0.4053645809493295,0.4572398485441964,0.5201797752808989,0.4659110572763454,0.38827683015015524,0.4944145091339204,0.4607793945475832,0.49783993230303303,0.410938236680811,0.40032721949539307,0.45766264252179745,0.4255301280705438,0.3705046841946207,0.4954570593347555,0.470126432059884,0.4708885107642228,0.3500811722099655,0.37933565791888424,0.40736857870301035,0.4423218692906824,0.4574277168494516,0.3645266985921578,0.4954541731509542,0.30800447223487515,0.4214086163799441,0.3689855193423194,0.43189445666010884,0.44644688644688646,0.5289939000849355,0.5067976137332089,0.3943926907918309,0.5039341094188561,0.49899506669102867,0.4053142811270771,0.48397020725388606,0.4203547915142648,0.40884509073428676,0.38075463592754355,0.42288063024490496,0.49731806320672656,0.480650124265257,0.4609147864542812,0.4172093667728973,0.3833829344857108,0.4770922419059255,0.45462836297309617,0.4355778506656377,0.4501657073085644,0.3193671526468289,0.36207741303282703,0.4647223983334843,0.3476274446938121,0.4154379516310931,0.4466663900759241,0.4358964253340165,0.4469424807818596,0.4512726054922974,0.4009540547326136,0.4861122039499567,0.4035053247927064,0.48629359286293594,0.47267315080821015,0.2447420456588172,0.3923201480453389,0.46571521547115424,0.44506041838104726,0.47806409901172997,0.4863899655938331,0.48263983319735293,0.48398606745391215,0.4849252389901135,0.5076447558211415,0.3743715239154616
S141,0.5888814167227079,0.5485169491525423,0.5316905400808798,0.5622743682310469,0.43365300784655625,1.0,0.5308095343517083,0.4814277746793084,0.5263638278452574,0.56262237526163,0.5341647770219199,0.5135961383748995,0.5338732625588267,0.5150375939849624,0.4752997601918465,0.5528555390576901,0.39902166317260657,0.5168947739327177,0.5260334490375513,0.4320716255645709,0.43790908275800233,0.43503124872349985,0.45226934118245576,0.4774355751099937,0.4193638727745549,0.5351903741552662,0.5414975730086735,0.5148274376150742,0.4857315355202254,0.45214775969769416,0.4936455396183237,0.5026691923540554,0.4848676913325939,0.4870526397155446,0.48604498122556417,0.4754378301100036,0.46714473876774476,0.5156517741463619,0.547156822249759,0.4871548711647018,0.4826572604350382,0.4848569240409385,0.4902911159948219,0.4576089764883918,0.41918700278607635,0.5004539264639128,0.3550273244926816,0.44163953436510417,0.4369346830376044,0.5339823198883361,0.5300497987584419,0.47972779369627505,0.5455568475936832,0.39850488786659,0.499936844764431,0.5004600585529067,0.5439625724045745,0.48020357757652865,0.4838844704897447,0.531485119157926,0.44517895299145294,0.4707013103514561,0.5181357649442756,0.5399203420177586,0.5438178448504104,0.44699864016059054,0.4835197950804234,0.5582290664100096,0.5128114632596881,0.49239251065048506,0.48900042368738394,0.37304827237910865,0.5253866465484722,0.5229875518672199,0.39592139414163885,0.5743672714665433,0.5057999310899277,0.49892300390639266,0.5492922415337753,0.49401683007797426,0.4663528322271956,0.5049569908149876,0.485199344620426,0.5254516830347102,0.5406192371154033,0.28809229501442113,0.479245123344476,0.5143440010200179,0.551559326084359,0.5272051368705644,0.4880099283398054,0.5429401993355482,0.5291862284820031,0.5310235507246377,0.490583266750371,0.44673988486506344
S143,0.5569007263922519,0.5690651260504201,0.5430898856763277,0.5602728285077951,0.4313506617764312,0.5308095343517083,1.0,0.49863976032232515,0.5458047665687235,0.5857835421519864,0.5206264858061809,0.550949757668804,0.5023177127389613,0.5255499385161908,0.48269768811662495,0.5612796988943778,0.4221246006389776,0.5051365744717402,0.5235670643002619,0.457386886573648,0.4373006134969325,0.4627230046948356,0.49327444965108047,0.48967665039024955,0.435093408010612,0.5323337876722702,0.5532663685020895,0.4927180080228398,0.516062099373819,0.4646342332074934,0.531204208153297,0.5,0.46034759748795095,0.49882218573774006,0.46137898988454806,0.4718755718206771,0.4820871217261501,0.5135974837942541,0.5354532632388768,0.47855242150079824,0.4745357885815549,0.5127955944282475,0.49127569921665115,0.4912952765331601,0.459871614216377,0.5006298110566829,0.4120659814206492,0.4651333197638917,0.47936,0.5594814691706831,0.5493611340664929,0.510111761575306,0.5360552720202756,0.38595696489241227,0.5062753427302569,0.5007292546250096,0.529508873297565,0.5213746275895517,0.5147115310747484,0.4972360515021459,0.4738285144566301,0.4863147165512486,0.5205013541601058,0.5103859577784555,0.5329041738096071,0.4977293369663942,0.4931163082499739,0.5265878877400295,0.5168974342148436,0.5634205539116268,0.4983093185487556,0.37745608955800036,0.532700495567809,0.5287303764670019,0.41052414645874835,0.5599402199053483,0.5589244648859013,0.5118672761130862,0.5477054144896669,0.5289839572192514,0.4887384176764077,0.5053414469235971,0.5270019250903442,0.5528415793491084,0.5479079054851299,0.3058226697963201,0.4798075804011328,0.5000584271413547,0.5298154196176288,0.496901146575767,0.4944143346974892,0.5131940207443564,0.5298873808836269,0.553840782122905,0.49115277728919693,0.4556819461651087
S146,0.5428004041389403,0.5432792411673332,0.5271869277363008,0.5663710610256231,0.46516862965791694,0.4814277746793084,0.49863976032232515,1.0,0.5409065509647306,0.5727684654139865,0.5104060288058598,0.5376832666909003,0.5198309935941121,0.5045237194261929,0.4337277887005231,0.5245346869712352,0.41944187170297587,0.5591390407640667,0.5679211403862362,0.43077607953702335,0.4365796312337582,0.42327201150730565,0.46523628462791966,0.4625222850941787,0.40011881776325564,0.5150162182789544,0.5505522514868308,0.499781532187591,0.46867298932118584,0.4881776757202827,0.4879581944865192,0.4616729584740711,0.49424230160774074,0.5325950163604329,0.47540511343176084,0.4348403274577771,0.5497967132460966,0.5279925765542839,0.5627158023814902,0.430195153334763,0.4249932041474117,0.500342432247334,0.5005404790351027,0.49025146400275577,0.4861951588502269,0.4980086702146407,0.4133931113008824,0.4302487888989244,0.42760942760942766,0.523863712430551,0.5185090385538313,0.5313326858023244,0.5102112183522172,0.4597648670243123,0.5007785736530677,0.483382984485627,0.511413627074024,0.5799923235283855,0.48654508847330313,0.524863406874611,0.46310640032613126,0.5148717948717949,0.5309538149427837,0.5475020475020476,0.527206089653228,0.5045242665204277,0.4860974582221598,0.5052655081308377,0.5056985233391695,0.4852360227653164,0.49644389944819134,0.3752042960541676,0.4787148029669209,0.4673349464223989,0.41588542567544196,0.4896042443361055,0.48784660346425257,0.4712220403709766,0.5553917297768246,0.4972165355744711,0.5090295479840592,0.4986211827188234,0.47826678457247807,0.5448890442075834,0.5113560250867686,0.33594077918113485,0.5014470082127493,0.485981308411215,0.5051027954444609,0.46936623843180136,0.48744241343438843,0.5533305146634893,0.495254027712114,0.5402876938768333,0.5186392629340892,0.4944381384790011
S153,0.6116062586650821,0.5971489575483546,0.5733151032113917,0.602589641434263,0.4724950884086444,0.5263638278452574,0.5458047665687235,0.5409065509647306,1.0,0.6039819004524887,0.4989329064959317,0.5741120712076988,0.5455250654513721,0.5765818656229615,0.48830040633319327,0.5548954754182589,0.3823796548592189,0.5654498343664929,0.5597645429362881,0.4748660104389253,0.46047843926608345,0.44207219108143814,0.5029793538828229,0.5091811776731281,0.42183501034253057,0.5530292128363794,0.5813969716000279,0.523076923076923,0.5233849081873612,0.5108953906727309,0.5290188935319118,0.5026162356107041,0.47713054358404006,0.5355417998775593,0.5062497871325908,0.465289630429482,0.5346727154893065,0.5478054999089419,0.5937998772252916,0.4636612668673272,0.4879672299027138,0.5131146524462082,0.5497346577765683,0.4982201756964175,0.4624388487049431,0.5463890001334935,0.3919851826906887,0.47971020077845006,0.45999525568470634,0.5900409927229973,0.5628082567131463,0.5297634189773595,0.5336734355848545,0.4185262251560594,0.5374830455661864,0.5232888694511262,0.540709126723572,0.5545123966942149,0.5240353052739076,0.5307941918778065,0.4872759856630824,0.5160473216084742,0.5675659363872292,0.5431946916976857,0.541328795007842,0.5096181786482246,0.5216957605985038,0.5659078133783024,0.5471094093277258,0.4780521916023013,0.5376048639326532,0.37736817032503944,0.5285971103269193,0.5586361662081946,0.42383107088989447,0.5347441245294536,0.5181962292151505,0.529706652867169,0.5720739350364267,0.5554800570768499,0.5099850563782095,0.5638806355767989,0.5200529151743942,0.5726014699066411,0.5915149403258124,0.3057054464349953,0.48525459298258533,0.5234874524152715,0.5530993539374891,0.5113970588235295,0.5369909145122251,0.5520139090118806,0.5931655665566556,0.564681588062883,0.5444969977525075,0.4646515113664751
S155,0.5914094813872097,0.6084162017948096,0.5863187996015808,0.6130023035577169,0.45609331980872336,0.56262237526163,0.5857835421519864,0.5727684654139865,0.6039819004524887,1.0,0.5562909651715717,0.6166932482721956,0.5558846453624318,0.5515159139514405,0.4983829672550869,0.6025962759859962,0.4198838896952104,0.6012332015810277,0.5874200426439232,0.46922480881312534,0.48045977011494256,0.45675072911305536,0.511698722928254,0.5084650706298854,0.4384503860548231,0.5701645237107701,0.5895026511846433,0.5306217084561624,0.5233657528211733,0.5047388718216876,0.5232194954522053,0.512333285529901,0.5182559850207302,0.546728665924422,0.5201167327933895,0.48510638297872344,0.5399424928116014,0.5547899688713231,0.6076640170838771,0.49640123758345545,0.5203314839525248,0.5386642707397424,0.5603336765132916,0.4972761910759832,0.5120301842983601,0.5336334405144694,0.4378709740196556,0.4496954033597932,0.4817751672377223,0.5884373562337064,0.5749514448825849,0.558986005401424,0.5657823324713469,0.45170630816959667,0.5186697166989267,0.5248127668509834,0.5816559058108621,0.5970177786274136,0.5055683967220004,0.5832200979617633,0.513693089900624,0.5322630097276807,0.5997549162630565,0.5957978208610408,0.5874031443912162,0.5818846694796063,0.5173176123802505,0.5722297297297297,0.555973089278138,0.534405006595699,0.5606699295555493,0.4002814423922604,0.5684224032847887,0.5450563204005006,0.4576089018145034,0.5806093459164681,0.542342049699529,0.5468101700202777,0.5950443673431791,0.5493621197252208,0.5538260300850228,0.5456697819314642,0.5434965296149896,0.580179950226533,0.600342956736851,0.3468583673187253,0.5188535887196523,0.5220444791260241,0.5575224211480971,0.5393845285149633,0.5505515636069224,0.5446006123016978,0.5642535733192164,0.5872913992297818,0.5364655701683523,0.510203381692218
