Sample,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
S118,1.0,0.5878808801899129,0.7510399388467288,0.4293609950219168,0.6404535946878016,0.5330295482535191,0.49806287317015907,0.40121273585716377,0.5074757657250039,0.33108620940623057,0.4469345680304341,0.5024441150118761,0.6224674608917464,0.18348842811427546,0.267953191941676,0.48468237512591095,0.3400342365039395,0.5611967526188978,0.41000155408808037,0.4079365054783608,0.45031517600651594,0.21673622535912496,0.48754572444048005,0.4260201847740279,0.6366510317407015,0.6303415736239302,0.25134349279009127,0.7303192384030592,0.6492254138466331,0.49897027255196624,0.5939179755523951,0.48142552154524665,0.5318958765254527,0.41085237791021134,0.45353463330700894,0.531853914701235,0.44809544093234943,0.527180254581058,0.33738813872068063,0.498712867787251,0.4421154819679126,0.5464565369527234,0.33459355766303656,0.7553563886995773,0.5137407445102903,0.48824216117504293,0.19609725918746057,0.24815138488910504,0.3663489350028921,0.41480280412735615,0.4299583389942405,0.31205132811952097,0.40502499590122776,0.1320052930978468,0.38774071207704175,0.3077596060303851,0.6052900933810337,0.4216863475046886,0.4596830144828383,0.34605619514551533,0.52886757790254,0.6074764303427991,0.7734983138348009,0.2986122660077424,0.598065587019333,0.5799273058842588,0.26890403060936496,0.7259750806282023,0.4312487972619813,0.4397366986025393,0.4966320863207947,0.22048357445474887,0.5379373531599418,0.6488883603270198,0.5569997982280327,0.6102563463937285,0.6438314849904896,0.6333510715590676,0.46468753488137937,0.6016290672403022,0.4661432975245723,0.5828162785695944,0.5094449870125181,0.5048444135200965,0.5891388741005392,0.42883450053783556,0.30733145534187156,0.4585989706788981,0.23616146045473252,0.5448736114599276,0.5368546273955426,0.25689820639411765,0.6745454374155101,0.6013313223597392,0.5298524173008666,0.2218396399645326
S121,0.5878808801899129,1.0,0.5752637174004087,0.6169996532850888,0.6223992656437064,0.7263819686422771,0.6139937567887384,0.5931436971631681,0.7671766386246633,0.7352475246378593,0.6342030221869636,0.7507886026511741,0.6835279370194285,0.22346507216704437,0.46711555297978125,0.7638908414891413,0.3573332255252146,0.6874458429353084,0.7137396938894668,0.39416635178523995,0.4766111025692975,0.37455289940113845,0.6710256093561918,0.55813954619196,0.38065843192881554,0.7489814512550901,0.6079286173487651,0.5315220182827021,0.8566662151256863,0.4193334698332669,0.8715201642224206,0.5697172954080183,0.6275627964095405,0.6479870230702097,0.3450833080115491,0.5119869657216275,0.4422270138291511,0.7361443903290024,0.38024823263486396,0.5690595141222237,0.6323262566483859,0.6837634103095196,0.594241533660711,0.5632738973855772,0.5967536716242139,0.46032309592688314,0.5281657496180534,0.5174104015016072,0.29796414713941366,0.5238248313360883,0.645101184938611,0.5077941272337512,0.5202257394943144,0.3826547882140089,0.7828469875580033,0.4478258228572356,0.8739563012437596,0.8159631681946605,0.5984814379432416,0.6006559850542865,0.6182664486044119,0.6805949051533913,0.770279531296392,0.4355749181815244,0.7242758657393699,0.6344512054950354,0.5537254810744747,0.6670503476626286,0.6610167428705567,0.6272579916625672,0.7139634497297187,0.35570003947521656,0.852613994545421,0.7664594490407749,0.2864662273418581,0.833693363624313,0.5734691036483245,0.47056328309084106,0.7915780832031718,0.7851911348475124,0.7123017369762682,0.5532447508814301,0.7810069341637398,0.6006937581190173,0.775028089620069,0.17189662604359301,0.6789417099329753,0.6588294927609909,0.4484837487439035,0.7019182590249241,0.7113063848262451,0.5055784723456613,0.8137344249008525,0.8234371589957235,0.6569652810724338,0.3021985073161736
S126,0.7510399388467288,0.5752637174004087,1.0,0.4206901881626598,0.7795436066435707,0.48912862869207874,0.5632203501317715,0.45565115936551837,0.46115236737403076,0.30344991004409017,0.4897312051112237,0.5733800555441124,0.6253562816763808,0.14409555034861954,0.29441512802298875,0.5051861053120951,0.3302113953751209,0.5633599423596388,0.3364824573655101,0.3629624952456971,0.4273048343937349,0.2833195687563087,0.4364499111759035,0.4784172703700009,0.775391066169475,0.7340748636374836,0.25814631849700254,0.7047961544792137,0.6652989590396273,0.2910909343320913,0.506525888268602,0.596119685160516,0.6088453455996423,0.4361057488157353,0.41626637227743046,0.3493341628100318,0.605631130245306,0.6116199573665603,0.46193187669718383,0.5427988972641379,0.5650650207270443,0.5545926009186073,0.30061701132752927,0.8224971522365231,0.5511003547612002,0.4728912374894326,0.2524056616384962,0.32082799376453575,0.2558854108663644,0.30526147406908255,0.5407734917684934,0.26191241672311905,0.5345558906634262,0.11993958570691476,0.3497718854976788,0.3260314428606321,0.5885798593345011,0.4057021184334708,0.4970272391848254,0.328335230617683,0.4471925032158235,0.5697442113691943,0.7365837520835568,0.38916842832592524,0.6954060609065121,0.48787204042510457,0.3188495136066338,0.7157930187459128,0.45960586485517974,0.5639880656537233,0.35047969988648464,0.15661277369996418,0.5120320916536903,0.7456050359374283,0.5333456569883821,0.6822579216862041,0.5276895403059058,0.659558080426752,0.41983433366407064,0.5545466751759486,0.59052011789811,0.7541089164561211,0.43985926836355804,0.6237865205993585,0.6040449470138064,0.29444770441426726,0.3381451599640778,0.4514309404839576,0.30063120351133144,0.5820174792622813,0.5488444310481848,0.3550572776619938,0.6123092678768476,0.6131766581607715,0.593088947132345,0.14115008406147833
S127,0.4293609950219168,0.6169996532850888,0.4206901881626598,1.0,0.5122040732437048,0.49209951257074436,0.3418998357142584,0.44504585098962746,0.5515563828101548,0.4604363942948274,0.2949688416071883,0.6631791910772306,0.4549316112716023,0.5047186505441821,0.1766061491371056,0.5650229058257977,0.12411027534752817,0.5815688866617317,0.44344514290423587,0.2574316076266123,0.3024135398693243,0.14567122226468832,0.37125363736031036,0.3093104658904393,0.3626145671876475,0.4262782035488042,0.3364882028832471,0.32144973078507677,0.5878285244295128,0.15481887851571552,0.6023936642179482,0.338515656009699,0.37326060228331115,0.32809581984587843,0.21564765554849774,0.37138205572235905,0.7891066689303392,0.525380228302325,0.29600556379855547,0.38933172286966533,0.30437096633541894,0.4086119608833326,0.29356273178816394,0.48805789518825904,0.4855550593182001,0.2263967529846589,0.16471584251146631,0.5531838218463264,0.15356488558296055,0.35515896742872677,0.41647138236771086,0.8147188662521868,0.29829998526916757,0.28214148230427116,0.6656808257772602,0.2332335424497437,0.6211831688146439,0.4921358532945339,0.42598062943567605,0.381714658007687,0.3685382207513992,0.46369149393521525,0.6000888889036406,0.2460532907979034,0.39618043109757517,0.40757959909022823,0.20518354808283235,0.42980034505085807,0.5277320151454793,0.34256101081120915,0.4349806883317089,0.11729633380796456,0.5422879572687092,0.5460010387734687,0.17347351747284145,0.4920031881008722,0.42789506413728895,0.3720097694667406,0.5702853011320754,0.5472679211694316,0.48334693476414214,0.5167521167163935,0.49529861020854304,0.3775910264058766,0.5406002292766247,0.055506651635613746,0.37398234569093347,0.5099191016078851,0.17721500563238923,0.486266430593538,0.46326304842451327,0.25279335336150477,0.6871239235338126,0.5599324390877344,0.7673469690954889,0.15823314370467845
S137,0.6404535946878016,0.6223992656437064,0.7795436066435707,0.5122040732437048,1.0,0.4495465124429536,0.4294322824503496,0.41883534656534815,0.4396813433041431,0.20772892614706695,0.4841270443700545,0.49505416778511435,0.7592353344043286,0.17701375256532303,0.15151259455761068,0.4356201962496864,0.16988546248680114,0.7485102864951487,0.25484882609124404,0.5636873954702037,0.18047925618518057,0.19573224179197046,0.49146772534653627,0.3738591252475084,0.8025582420978865,0.6335237611441648,0.21400405904566144,0.43633943460606406,0.6848899581114484,0.20381348633570084,0.572587813012275,0.6164972795315056,0.571149797454032,0.39175190101558977,0.4470448217749077,0.43642562445600874,0.6517997257281195,0.5986722459047344,0.4186849199562239,0.3157038267394735,0.32339363335225857,0.6700373188449477,0.3011117149861443,0.8322178159130557,0.5040692184487598,0.37119192116043975,0.157500471434882,0.28061673277246824,0.16503409656750145,0.37774498353062325,0.5366673640128005,0.26501594474441825,0.4777188384474086,0.10509386415852129,0.32053542623663256,0.36681573143832014,0.6105870268763958,0.36896880951319466,0.43672550782301833,0.2384840633581793,0.4797778126375235,0.6571038790602527,0.8576754371759293,0.3002146596302586,0.7187279167616444,0.7659541794760332,0.27063941578267525,0.6340837926724593,0.38292931834031674,0.4459534396679282,0.38006170258550076,0.14892956855086492,0.43286115638871014,0.7725784397670432,0.3000583680026171,0.5663160651000861,0.46680967720013244,0.7113131202616078,0.3934225804030449,0.7695685512506676,0.4288250202981898,0.7863581906519986,0.5172041614395712,0.5352411405377977,0.6085075907210744,0.04943530523901529,0.24077977171137488,0.40460219633353656,0.199691977292332,0.5562062983678766,0.7795137757552848,0.27023117297539057,0.7051046917384054,0.6943108203190087,0.7974848974105332,0.11090494905217296
S141,0.5330295482535191,0.7263819686422771,0.48912862869207874,0.49209951257074436,0.4495465124429536,1.0,0.5226383160544097,0.5654234245462435,0.6012000803581288,0.6111889147606441,0.5897466987749329,0.5596156160434536,0.42653408513690916,0.17989145014838215,0.39310988983875905,0.6992247083576616,0.37231925306223834,0.5411406588852257,0.57810671201385,0.22724688632329593,0.5040650435865661,0.3059423097560443,0.4825370395678896,0.649300228220881,0.3356800822301701,0.59357867051213,0.4809717288222912,0.5577307357739387,0.6835795708141108,0.3784499418046471,0.6692140603562269,0.4660555648987247,0.7503925172689478,0.5116308653386873,0.23125035873195832,0.3619470571355088,0.4130375685627936,0.6625995049744093,0.4185478228437465,0.6200913952890584,0.6591597774168948,0.5834549443448895,0.4523469623946148,0.5195962231119137,0.683963993295441,0.3562232572162207,0.5044842213525373,0.3686674488471122,0.3600175332643065,0.5586074216058695,0.4673949394851682,0.40233181389679196,0.4246569038392509,0.325928203142801,0.6457760130777984,0.4066888407350262,0.7308661426133942,0.6351390494645246,0.5535710425455452,0.5422244929774036,0.5229534148850178,0.5344046752761732,0.595603619264112,0.4029390196143844,0.5727409029119548,0.3783433232688821,0.3626274858692361,0.5169251457606111,0.5996653360092501,0.554352715582714,0.5641538178993242,0.422682421447522,0.7646861414966252,0.5182814899607859,0.35609741696279107,0.6956602112525172,0.4754242357295201,0.4347632461738453,0.6729312336366241,0.5207058885177118,0.6934434828771444,0.510437786007194,0.6814431492184048,0.4356235535410231,0.6255538399436619,0.2196068380842653,0.6481132449677676,0.5333216089464711,0.365149273266973,0.6274258213440603,0.4678631491531313,0.3609173567126345,0.7088289704779086,0.6130209864781434,0.4367964694390736,0.2871525390389198
S143,0.49806287317015907,0.6139937567887384,0.5632203501317715,0.3418998357142584,0.4294322824503496,0.5226383160544097,1.0,0.54356512826587,0.7051197454037104,0.4968222623843037,0.7769506865174955,0.4008564258424534,0.3461709500376111,0.15151904577046926,0.7511980102535091,0.7426353566924381,0.23300674034348334,0.4679528322631925,0.43455526271237077,0.21589815264981937,0.28967723587876926,0.7564926343262407,0.6336018085010321,0.6340126858732569,0.3873082947876145,0.8412532205385298,0.6861835237846873,0.634345835892711,0.5123511786859376,0.5289615728072521,0.4767589125601759,0.8190526862593009,0.5960815983972749,0.8732640198285128,0.23079512199197172,0.5494658129236819,0.40435795711487554,0.708598161293334,0.4177433734882655,0.5051043708206777,0.6420126112476355,0.6545846223992003,0.7066143268779085,0.48550997628982406,0.43804165633675096,0.5025561678962719,0.5961651127994229,0.4100065043691774,0.2939635521651648,0.33244413936066297,0.48893968617073646,0.26165313179614735,0.8525193193171041,0.2409793431800218,0.38020155269403877,0.2781895606072293,0.5070026927950958,0.6225056070417567,0.5230604410515949,0.29871245103433886,0.33339744544908734,0.38036949748732396,0.47882026529634514,0.7012143355577934,0.7763001423345087,0.24425452683138482,0.8046241487613033,0.6240339606990718,0.5957679493502153,0.7961077920484235,0.3360031081784238,0.36416030368181274,0.5305692928950304,0.5057004365604957,0.5018140065378051,0.7757743387628359,0.46529926117236187,0.3901922113348786,0.439172199331467,0.379993591645607,0.6995261152883026,0.5177261656704883,0.3466056858702451,0.7894364599267533,0.690535172569691,0.20660186762876187,0.6612809470972772,0.35426365287768236,0.842716850607487,0.4464433790298431,0.3144942124562894,0.6375662068417445,0.40154774590954023,0.7841920167791298,0.3353803741818211,0.3785195544747455
S146,0.40121273585716377,0.5931436971631681,0.45565115936551837,0.44504585098962746,0.41883534656534815,0.5654234245462435,0.54356512826587,1.0,0.6203989817976359,0.5828027450797434,0.45419499247808104,0.4666535262841601,0.2638345363090415,0.545538460270473,0.39975640802396284,0.7172730115637875,0.2667420368565404,0.5153553674416788,0.5336861614609353,0.47500930136143404,0.3446723263299878,0.6296534085776333,0.49386561879558766,0.5066133440471998,0.35713360689006046,0.5876995981670733,0.6427515561795188,0.48115345409263544,0.5986489230281558,0.297165008473685,0.544115473001049,0.5133642865730897,0.4955331414086044,0.5394455431886486,0.5286059074812044,0.308544255679551,0.4322569899826185,0.7024615195257069,0.6398128825748582,0.5227399579461343,0.45222506175804456,0.561168803099963,0.3907843648441871,0.525407029047998,0.593901814125772,0.2970193751499033,0.36662995562873624,0.280276476691363,0.19630337904908868,0.3152557623618608,0.43136960981577754,0.39489400490572657,0.5288664909529944,0.32879137726240715,0.5729837013707302,0.2634911224004548,0.6365477334915859,0.6436996218527176,0.5411431372795228,0.5356056018496674,0.31463445970963133,0.4315708417009311,0.528822904541788,0.41269965318700164,0.4843414196211141,0.2793746139210831,0.38439893858290886,0.45909206446608264,0.6425700689918947,0.5936910731990998,0.4164981225825328,0.37914292261892135,0.6318422222202859,0.4944725792041179,0.342883636329923,0.6086624207110642,0.5746320069424702,0.39784773493940473,0.5479392804400071,0.43771238391200185,0.7150336103759793,0.5563704703154096,0.4707167396836882,0.48939298181621105,0.595241507029621,0.15202139843970874,0.5740502034655409,0.7010592450341949,0.4340570487302482,0.5078268410994978,0.36471697556300153,0.40934872406270584,0.5245482970469635,0.6127756025314502,0.36921919776455714,0.6578449319120118
S153,0.5074757657250039,0.7671766386246633,0.46115236737403076,0.5515563828101548,0.4396813433041431,0.6012000803581288,0.7051197454037104,0.6203989817976359,1.0,0.6821492635061492,0.49348170362538957,0.6708979275198448,0.3791935371001003,0.18081288832432463,0.5163761957481297,0.8889935506452877,0.16727384073244922,0.4141557146860373,0.6307770433643431,0.21210938575594462,0.36579145765557164,0.45104665452862513,0.5249347423510499,0.5074225250298287,0.3231676932169403,0.6404223478818267,0.680703176168758,0.4518858494467032,0.6634197477634195,0.37408705325991387,0.7636066798359874,0.5547277275064534,0.47789190635103895,0.6537321739154652,0.17210296205091025,0.765811848924922,0.4099810554181631,0.7317627094832393,0.4198574362643197,0.5026500680835535,0.459541133850465,0.5559490425628871,0.6488449189516724,0.5001301113268615,0.5798474138737528,0.401896016585511,0.431731761177359,0.5645284703556726,0.2695268396557927,0.44596686293444465,0.470806045393072,0.4794212116211619,0.5439822680468982,0.38526146982110765,0.6847249859305145,0.29399538425049454,0.7232632148011535,0.7429027687040751,0.6726694354485941,0.5275197918699389,0.3882892514114934,0.50717542914468,0.6804626596622646,0.45586791541229665,0.5370956605326657,0.3524955664715035,0.475135400177239,0.5395020504680488,0.84349144372021,0.5928623567845105,0.6047308060727523,0.2536260736320757,0.6928759627217681,0.6863228456894157,0.3040949890548972,0.6788007581781493,0.6452775741313325,0.37477767722434285,0.6450388715817155,0.5627624182268817,0.7206928166703941,0.5670995836832631,0.567150780002182,0.6720581456483038,0.6579843395077486,0.12357778640940542,0.6721992505087891,0.578549693427779,0.5040418734402109,0.6056877411183879,0.4642577708207365,0.4308436300193583,0.6593582926874991,0.8497952473589644,0.4454809984177168,0.30572505940065664
S155,0.33108620940623057,0.7352475246378593,0.30344991004409017,0.4604363942948274,0.20772892614706695,0.6111889147606441,0.4968222623843037,0.5828027450797434,0.6821492635061492,1.0,0.47600919444260303,0.6628719095708536,0.2990359419610471,0.16536770706721748,0.5093325693701207,0.81054438754631,0.24147248586997816,0.3429184468242966,0.9439370929410482,0.13318151545091528,0.47518631188552485,0.35960708429079724,0.45944772052853977,0.43149306188478,0.15473813150348792,0.5955249994258175,0.6932700830260231,0.4086493003787709,0.6650221500826092,0.3601524152835691,0.6958230771998166,0.30947859223950347,0.35131833822765635,0.5341683929720806,0.15281978798897167,0.26245786526536097,0.22927524133631783,0.6172033826493496,0.29106133584782934,0.5365590523517346,0.5119064745850828,0.372311065919565,0.4811554812717731,0.26352310908850507,0.6186144020517944,0.4167936368766101,0.4596087839734606,0.37675208610545696,0.24226287482157582,0.3945939415943476,0.43491131346393197,0.5433595616717377,0.39386294865085525,0.4837765629857713,0.884213143509303,0.2744675401206669,0.7666922899544915,0.8861650157202634,0.4107643685487131,0.5988166567274021,0.3554530409011212,0.38622860657739033,0.4618050707489656,0.3992043555237913,0.39434632676273973,0.2108037768512987,0.44754353063242636,0.46558552794161,0.653389907176015,0.4765129507193435,0.5654565291323652,0.2431897892612499,0.7908622194955458,0.4444687106799856,0.24707381913958337,0.6192052810207614,0.4048285184870348,0.1717251826120274,0.8413583480195516,0.45755312293976447,0.7042446283097518,0.2512691227614079,0.733903816151655,0.34639121184325905,0.5856066910187944,0.19266862537363016,0.7251572256267554,0.647733670481796,0.457122661910772,0.5858819566842767,0.3662895208121725,0.39403496553110284,0.6249539642882945,0.5948596367543995,0.39535457251884165,0.31889081170305933
