Sample,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
S118,1.0,0.6219112224729273,0.5923156858118731,0.587053271791096,0.4826084127954029,0.590229501081868,0.5569383425263802,0.54280588617117,0.612594441103106,0.5938663711680063,0.5579780727672831,0.5704390536558185,0.5507348370932396,0.5753742807482038,0.47476527725866435,0.5544597887270667,0.42591926854311557,0.5738947920619584,0.5657893797677134,0.4872608335968338,0.44712705951667475,0.4278812825303684,0.4917227904140219,0.5131608771230232,0.4358291191501519,0.5909984715924669,0.5885650221340483,0.5304885185341904,0.5341622656284704,0.507834230284865,0.5428862858828895,0.5053914121313624,0.5026444616892816,0.5723657211604312,0.519162738007048,0.4910472372688275,0.5394291502050557,0.5450793759034855,0.5898253032613983,0.4822633457688952,0.489953848381799,0.4806532924320186,0.5397116051177839,0.4980769326776442,0.4623277914831203,0.5729749555128504,0.3754926994862732,0.4747396894398894,0.4487018606807789,0.5864268745076766,0.5636789379333892,0.5442072772400717,0.5730886726468183,0.4031979449131826,0.5419110565028643,0.5347642174532339,0.5673720250969401,0.5705579866311262,0.5227015973342611,0.5570338395348277,0.48734494349638136,0.5049482156385945,0.5757931548644883,0.553467916623389,0.5616547990071855,0.47907454182681053,0.5020075671348349,0.581605489911828,0.5180526369719598,0.4947154190217984,0.5506909435218474,0.38295820993096696,0.5227983955546672,0.5487677291109647,0.41491069587584173,0.5695494844994984,0.5541239432902505,0.5250012720585086,0.6028730211759948,0.5544995566022926,0.5008847271652854,0.5349509755756361,0.542360775010231,0.5962255509021274,0.6063421656936664,0.2739010915565434,0.5106278040211053,0.5382545702501365,0.5756440716524691,0.5511743566559348,0.5345839516856769,0.5730868128403522,0.5734889673886714,0.5480746830391897,0.5062867982791376,0.5027745978126055
S121,0.6219112224729273,1.0,0.5594889632701647,0.624529420198497,0.4786006793761155,0.552423462731672,0.5695205058435626,0.5438827648616175,0.597157069276342,0.6088907649224852,0.517740606610294,0.6005251637286353,0.5541689655104184,0.5600106354422096,0.513240741227344,0.5729337649232219,0.3978718853716955,0.587735632520446,0.5790576590869094,0.4556488054018981,0.46534521920915095,0.4459502223972094,0.5217260046035569,0.4960526129700551,0.4205048283609829,0.5960938276990816,0.5900979181984213,0.5076917341962621,0.5245760542365389,0.5047489317640094,0.5366838317006958,0.4991208931236567,0.5003491863251909,0.5687610624337787,0.513598348871059,0.4737420356552102,0.5284552440234143,0.553445695321177,0.5968079668161842,0.4741673405728597,0.5070181231891027,0.5149377546158187,0.5905148089959847,0.47288435915441984,0.4924464904464434,0.5163697251154522,0.40970572262289373,0.4778657147220229,0.43200549678341105,0.5700829960793812,0.5841157669576399,0.532618188205545,0.5455877182606933,0.4635772558765454,0.5611921230080478,0.5663417158576401,0.5620215303746643,0.5521689697061275,0.5502514267484864,0.5763779764829755,0.48915066701830345,0.49399551407190767,0.569889199586895,0.5823361537883331,0.5543081878291999,0.49935966485011973,0.5318122356659133,0.5455787756541034,0.5702297376034168,0.5191641582921886,0.549894225578017,0.39682684447765215,0.5604834871313249,0.5524799609412404,0.3935721272424708,0.5671703241269949,0.5317528085356326,0.5001469636450645,0.5991508681723947,0.5838534635114773,0.5479257217291992,0.5822906983106397,0.5270136551632083,0.5723603391935336,0.5962590333767133,0.32480187552919926,0.5239797504405269,0.5256839268088845,0.5673255416168445,0.5334297901246332,0.5408731446477061,0.5499315515194029,0.5485236659223971,0.5605619919533931,0.5441770588214393,0.4936418839763277
S126,0.5923156858118731,0.5594889632701647,1.0,0.5960270404669302,0.5326146555339609,0.5325481568364893,0.5432271650017185,0.5272490818787685,0.5746294085116949,0.5893703428367081,0.5128571942767046,0.6042676549472444,0.6180717338679255,0.5414830194628181,0.44777699832230633,0.566289638663665,0.37977374693878785,0.5977319366298002,0.5633955563271167,0.48789926519858096,0.44654954847888495,0.41603300591136216,0.49992009699267426,0.4888832857682557,0.4481483812252518,0.5687092327405915,0.5536421154199018,0.47430900999432635,0.5238716922067532,0.49128733656161283,0.5213199887400491,0.4925558614127781,0.4638926599793758,0.5448550175693178,0.5073402077269423,0.41513804093930573,0.5294280395509758,0.5770380665794538,0.5759660111962863,0.4639267896270053,0.47504728030346755,0.48749466122453033,0.5448419465006347,0.49896857803329964,0.4562562089545332,0.6066508839033659,0.3592798036942808,0.4711025015107434,0.44646881960273954,0.5322962705806923,0.5548440066650506,0.5783281354230556,0.5690484431399345,0.4423053195129544,0.5351628079200668,0.5470115373101374,0.5262923625879609,0.5514181952034027,0.5200963710067673,0.5217504379138095,0.4978495181817768,0.5202255354379651,0.5880905098095142,0.5782963854426206,0.5775949940779808,0.5035687334664588,0.47276330806796585,0.5678000346191248,0.539695966377704,0.5336586402891575,0.5311919202673543,0.36787082150098405,0.4803121023897581,0.5563295763085597,0.41691236711723945,0.5296580933588718,0.5403344235619961,0.5366215122749476,0.576906852954842,0.5539858802125663,0.48950039612453755,0.525855324468996,0.5139467319866008,0.5854181554322637,0.5963296956776744,0.27860572395520067,0.4822495659121786,0.5423624356762267,0.5573194380577617,0.5800566852407376,0.5468517830959778,0.5594001927649244,0.5555706957803364,0.5822057447005922,0.5546468898359325,0.4703786039499449
S127,0.587053271791096,0.624529420198497,0.5960270404669302,1.0,0.5062318377924304,0.5633388846431953,0.5603610876900134,0.5664030072811843,0.6037845425326961,0.6159031506711782,0.5326463008289615,0.6159813781214226,0.607712811533645,0.5844038900975342,0.5054194491454411,0.5959799088383871,0.4067635838334257,0.6216289585232913,0.6019846924801598,0.4716885033448004,0.4510637410630527,0.4249018767432632,0.5119043147201088,0.5000638857718416,0.4266946516480593,0.6047865487033124,0.5710808748910181,0.5000716226526608,0.5124651973629225,0.5289522007772538,0.5320021268786117,0.5073606983448112,0.5237635176411755,0.5492637675886805,0.5177642523341042,0.46799872034381007,0.5613929231208913,0.6071192720750527,0.6175778714416007,0.4568927319467875,0.503954846500735,0.5234950713423281,0.5788017241783476,0.49319994503926745,0.4809711521543638,0.5739312003577637,0.38823284275279013,0.5072892436845656,0.42269989289719123,0.5870522595234776,0.6075560280552462,0.5690257289521385,0.5753382688997464,0.49090642182157884,0.5786996275243294,0.556080188999911,0.5595159334850262,0.5699030127740711,0.5825714303400028,0.5590591741543983,0.5092531063482015,0.5290229458070245,0.6052499261295593,0.6277887682632505,0.5633966764935892,0.5343217393884301,0.5268804843695313,0.5721322586572096,0.6008558166988737,0.5303932663622491,0.556446070338179,0.3913347074285356,0.5351785080655344,0.5774398567453064,0.4215862470060041,0.5710196987805733,0.551403487511239,0.5229199609732438,0.5938365364933573,0.596844595133584,0.5221898901360952,0.5703814872237307,0.5302912803277376,0.6073071250426075,0.5992176304699082,0.29581716836882443,0.5084258358804692,0.541001950786433,0.589893492330472,0.5542434220670285,0.570846184784658,0.5822357774054092,0.6030673494001881,0.6014254717497859,0.5672876792285978,0.48681871672006327
S137,0.4826084127954029,0.4786006793761155,0.5326146555339609,0.5062318377924304,1.0,0.43534071632338645,0.4374137431498931,0.4711611156289016,0.48322217430725567,0.47007344797634776,0.42477001011743665,0.5017386631652032,0.5332790984090098,0.45449283318553246,0.3602272300915905,0.47232644772099563,0.2936111511244861,0.5200522199311142,0.4843810001718818,0.4612594123757019,0.34756722835489995,0.3348493170090212,0.41161539144335224,0.40572841223516676,0.45907962954892423,0.5211087883333004,0.46802390066523203,0.39064930921384255,0.49614523889792816,0.4644330813436146,0.499001324815431,0.41097612542892636,0.402311582064818,0.46116372053302124,0.4287050676812181,0.37225098815985813,0.5030870163344167,0.47060422038637584,0.48340511535165753,0.3530348093383885,0.3796410002839513,0.41727821162401335,0.46846705514117515,0.4638336684067983,0.3761507378512944,0.5006116409201331,0.3107918195271284,0.42154502157049745,0.37199308088757743,0.4401629245512384,0.4591532898175068,0.5390507504484654,0.5126703227646208,0.39517695749234827,0.5042853461861773,0.499485611731317,0.4106196876579642,0.4897433780675289,0.4207518653269873,0.41430961946376366,0.39334894844644075,0.4409551487763078,0.5125183988872241,0.48815204559324155,0.46571988180844737,0.4339729336680922,0.38759649750591507,0.47891202361242924,0.4644903379245272,0.44389469018705385,0.46754599830606436,0.3195950673471394,0.3659862550871601,0.4653649421672563,0.3522521421598923,0.4187809445290672,0.45060785301967143,0.4427622469447501,0.4553969301869183,0.4547918461005913,0.40409959132225715,0.4939000340359053,0.4100401645753331,0.4919785220874182,0.491749858682619,0.2451803838366593,0.39252193894494636,0.4658898958437634,0.4470336467450977,0.47833748385959796,0.48831920181779753,0.48328546344220635,0.48701142046114954,0.49012469558835847,0.51253216749581,0.3752684877778898
S141,0.590229501081868,0.552423462731672,0.5325481568364893,0.5633388846431953,0.43534071632338645,1.0,0.5324783174174224,0.4826812357033805,0.5304477920343945,0.5697286729365284,0.5350274705633321,0.5238455153225063,0.5360239219587803,0.5166989465368426,0.4753012195045663,0.5554289409966637,0.40064974512568297,0.5183271741916479,0.5260969865248318,0.432072909808328,0.4410372635741171,0.4351138511087915,0.4542406435771593,0.47793709262949924,0.4193643322463936,0.5354068312971408,0.5415108495393985,0.5149553812061,0.4857365595467953,0.4524682926132484,0.4937433238294562,0.5040692060095474,0.4848988121348856,0.4873581446113959,0.486324034274924,0.47545647470979624,0.46891691106506994,0.516131146111649,0.5526719216182037,0.4875767060189242,0.48321515056015274,0.4890826760943383,0.5061871399120181,0.45903647138294834,0.4248145473605577,0.5012379174653361,0.35540687757883527,0.4444942574564128,0.4372737858700899,0.5370517061792772,0.5360101059539449,0.4824504269739558,0.5466707816566285,0.39863085497151274,0.5005836567840902,0.5009414841228037,0.5454296405561664,0.4812533058163919,0.4843687247540889,0.532985400365366,0.4514990328066353,0.48044731837581245,0.5246512752779359,0.5420243712780012,0.5446730435535189,0.45546653688106165,0.4843882955464922,0.5582292836673641,0.5164908155168291,0.4952091699166806,0.4977413874353185,0.373522537831502,0.5262893209863896,0.523319304922294,0.3970277387707648,0.5747947719240704,0.5063020133544308,0.5009029401327088,0.5523812648965861,0.49434793386264664,0.4666717840292418,0.5070292901498293,0.48723340573693397,0.5265471761803433,0.5509267936439051,0.28820811961617177,0.48000012358337374,0.5152952291394012,0.5515690391561835,0.5279848310106363,0.4880101007994099,0.5433014688927263,0.5293330638074897,0.5319204321059039,0.4912078543984181,0.446820416050548
S143,0.5569383425263802,0.5695205058435626,0.5432271650017185,0.5603610876900134,0.4374137431498931,0.5324783174174224,1.0,0.49865242957034683,0.5463627883375167,0.5876355335820149,0.5207576686073544,0.5549329935893902,0.5023451688570632,0.5255502144490165,0.48412177951098656,0.5613624757479801,0.42820863381201524,0.5051425022163157,0.5246307204538413,0.45873770634484146,0.44596444592872664,0.46498148585496357,0.4933231985676301,0.4935137133569989,0.43641064113417216,0.5354249455356136,0.5547119043500992,0.493518094023111,0.5178761388640252,0.4650367635647752,0.5338188824336279,0.5059323386804375,0.4614105867767204,0.49930199043057666,0.4618543465095437,0.4730460016350503,0.4821017986129019,0.5174489749683443,0.5365024140762897,0.4788918560813873,0.4783890185765107,0.5135066698731588,0.4987904732134778,0.4912952998104292,0.46151058525236244,0.5007657950032048,0.41229088947909553,0.4738153264216811,0.47974122009927234,0.5596991564298431,0.5507289081551514,0.5103006866659465,0.536118686529946,0.3880629081549949,0.5105684399098199,0.5045300361329529,0.5295179240128611,0.5214198100968019,0.5186742767386692,0.49724034268586026,0.4757076436930958,0.49005057539098473,0.522132481213633,0.5104065365233117,0.5330475925345428,0.5010280856574242,0.4932085942597171,0.5282804725286513,0.5173202541833068,0.563635725258282,0.5013009813325298,0.3806350260384199,0.5328142229561085,0.5322238165099623,0.4105283659443949,0.5604039208462337,0.5592614073416226,0.5118917825568341,0.5479010829202524,0.5294654633175754,0.4891755600365726,0.5053736645134705,0.5270415343692507,0.5529014101320557,0.5515787763531512,0.3075957237190907,0.48421241551430305,0.5049728126628907,0.531240913969652,0.5013458954717366,0.49593588673085665,0.5166358925820395,0.5307100930052512,0.5539648044901395,0.49135674565740484,0.4578835947185993
S146,0.54280588617117,0.5438827648616175,0.5272490818787685,0.5664030072811843,0.4711611156289016,0.4826812357033805,0.49865242957034683,1.0,0.5416477254355148,0.5749188359851063,0.5104659245316405,0.542046077680308,0.5199113601322435,0.5045404885261383,0.4347807829474033,0.5246895937729922,0.42498857659120803,0.5591404990537991,0.5688311742244602,0.43182310557486037,0.44461792822584845,0.42505026788641276,0.4653407112964778,0.4657448499247019,0.40111825103395593,0.5176237601406071,0.5517208347985776,0.5004026927715002,0.47005202395842516,0.4884681295116762,0.490026915067585,0.4666539628330426,0.49515657688337655,0.5329542894158441,0.47575313632640825,0.4357115111815367,0.5498580035627352,0.5315037282582337,0.5640839277102365,0.43039570281256134,0.4280681735486619,0.501236865783855,0.5088363583060194,0.49026286756047743,0.48823321640772355,0.49807384911312225,0.413531875793705,0.4376954386859774,0.4278387731757962,0.5241850400691052,0.5200741927241942,0.5316460692284831,0.5102285945848651,0.46194243888985875,0.5045720141062663,0.48663910727254156,0.5114140471064343,0.580002891077146,0.4898722293845127,0.5248657278983155,0.46524912256207174,0.5192960196177347,0.5329311079240565,0.547573082185863,0.5272741762899197,0.5082957094416267,0.4861337408312818,0.5066134196819942,0.5062708797685515,0.4855292746824307,0.49982541936236236,0.3780260226780885,0.47875865149721963,0.4700510941842577,0.41588682546380906,0.48988007967062686,0.4880323281962893,0.4712894446135465,0.5557100979244294,0.49753050495782725,0.5093442771993145,0.49870577858877385,0.4783566843521938,0.5449047127565659,0.515217749038534,0.33763878728054375,0.5055778864183096,0.49028293718073246,0.5062103613482877,0.47312819902231174,0.4886821163873336,0.5565981289741885,0.4958387619671567,0.540340899759168,0.5187612678824999,0.49649277102693223
S153,0.612594441103106,0.597157069276342,0.5746294085116949,0.6037845425326961,0.48322217430725567,0.5304477920343945,0.5463627883375167,0.5416477254355148,1.0,0.6043368496799012,0.5000754845298854,0.5757258030706269,0.5458546619191029,0.5771449322930733,0.49193952981144606,0.5551136482358151,0.39123440306413726,0.5661584867268943,0.5630898794114475,0.47840732849633305,0.47424800141630286,0.44666201451303855,0.503223500071033,0.5165845115450043,0.42503048231394647,0.5595088029264311,0.5854141480258179,0.5258107950121516,0.5277483260282088,0.5128228766081073,0.5345433429330203,0.5126119200471307,0.48018865240861763,0.5376676661613261,0.5083291823613595,0.46840380765284806,0.5350469411545061,0.5555179004175719,0.5938895042808161,0.4652545367032255,0.49525082304122137,0.5131288579871404,0.5543486142712326,0.49873650827152094,0.4627939575116675,0.5476722403740851,0.39318597121841536,0.49337567333729415,0.461661677073383,0.5901294996001623,0.5629888997360993,0.5298492420969556,0.5346535525333654,0.4232203409983233,0.5457676090241073,0.5307217283315764,0.5414141845495848,0.5554576256577465,0.5315565799593719,0.531441195513967,0.4877437930971842,0.5176445160620028,0.5678927057235185,0.5435513372802104,0.5425961648603883,0.5108619907783857,0.52278340807025,0.5703611297492308,0.5471156350925385,0.47812605872536484,0.5387168711830322,0.3831553303005467,0.5297445741102925,0.5658115091609351,0.42435566597304475,0.5367186630287195,0.5198527045699779,0.530039152795265,0.5721716844283847,0.55762635864909,0.5119389023019715,0.5642051219125883,0.5203353351759936,0.573629963900132,0.5929845706609729,0.30928327748079676,0.49319097646595433,0.5325002437913932,0.5569908795633782,0.5195997219232761,0.5411011773810686,0.5591808442790557,0.5961895407746648,0.5659260353021474,0.5459898768719955,0.4694422808979546
S155,0.5938663711680063,0.6088907649224852,0.5893703428367081,0.6159031506711782,0.47007344797634776,0.5697286729365284,0.5876355335820149,0.5749188359851063,0.6043368496799012,1.0,0.5591841940331282,0.6172035469296331,0.5572100544040643,0.5532148810348445,0.5044825193075164,0.60376694500742,0.43297586114792774,0.6033729131602065,0.593455671058299,0.47497043964557295,0.49917645139045086,0.464026827157509,0.5127947048288329,0.5191449994865744,0.44388531274961673,0.5801853465620724,0.5963049238345093,0.5355710944873123,0.5303612232750553,0.5084456471705193,0.5315935733573424,0.5263501961488374,0.5238993750263488,0.5508935262509786,0.5241780747260062,0.4905678806186142,0.5413307487060233,0.5661346375490107,0.6077508739693216,0.49981200015301874,0.5315026326016183,0.5388583173137323,0.562874166134724,0.4988605665314254,0.5120363437536201,0.5364558414541641,0.44064653761208317,0.46648426665137055,0.4852120484892368,0.589220973694195,0.5749744527591282,0.5597501421244159,0.5683308206992178,0.45936722409271824,0.530108360783189,0.5356238553220278,0.5837754638890029,0.5995826941351646,0.5160735636141348,0.5852618595882666,0.5137164340173738,0.5327871475945237,0.5997549530231636,0.5972797895944983,0.5905034373074955,0.5822528271656339,0.519846782217734,0.5795380939179172,0.5563971000243508,0.5351238265326683,0.5609226826683413,0.4090717357025706,0.5712760234135513,0.555386733142584,0.45922549185181927,0.5848081310090754,0.5458835475209237,0.5481393857867473,0.595872991363132,0.553466381418229,0.5579384327918623,0.546939490152774,0.5447255066853102,0.5827565115379008,0.6007362460402751,0.3529489747787813,0.5308801553420665,0.5346803840761667,0.5640467035248705,0.5516839748716624,0.557431799040545,0.5550143446593733,0.5694195549737278,0.5902692303340972,0.5396156367504409,0.5182853673343051
