Sample,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
S118,1.0,0.45041401887155785,0.42073783675110576,0.4154704944178629,0.3130305602716469,0.4173153296266878,0.38590604026845643,0.37249557691388135,0.44051355206847365,0.41985905312612937,0.3869100186439015,0.3942336230655077,0.37988193624557265,0.40383216104778075,0.3104088311434572,0.3833458717321798,0.26635226573713344,0.4024081115335868,0.3937496792733617,0.3212016744644176,0.28156887755102045,0.2708595185149376,0.3258736832587368,0.34216854872438307,0.27785458879618596,0.4167119417581223,0.4159133907925163,0.3604917380051762,0.36311563442949935,0.34012849620791263,0.37062535857716583,0.33361742928674165,0.33497828661666007,0.40062740335964375,0.3503175378602833,0.32467851182880136,0.36923221501738557,0.37150927307610315,0.4166360631656262,0.31760976532929597,0.3216072625986486,0.31549696264702076,0.3609869827083738,0.3315978621452267,0.2988737257481092,0.40147868803652065,0.23107727512761833,0.30466856927467556,0.28909402978150944,0.414396424666001,0.3906089442880758,0.37343497343497345,0.40162481536189065,0.25114810562571754,0.36810833957820366,0.36189366659606015,0.3960266187399816,0.3991466823598646,0.35082001682085784,0.38601896875451347,0.3200332502078138,0.333642972536349,0.40196340919232487,0.38250485712931814,0.39045040610386417,0.3116950852557673,0.33510688388737164,0.40869107189886755,0.34893712239874697,0.3283162125949084,0.3761541719610335,0.2347998261457478,0.3538917575062154,0.3753782449434623,0.261750263065591,0.3979257916729598,0.38310305551428714,0.3558228083209509,0.43105524249867555,0.3833483078766098,0.33391070053887606,0.3650112023898432,0.37193607348736935,0.42472741822546767,0.43006381676719996,0.15783865382053897,0.3393524611739932,0.3641111230752665,0.40306521399155504,0.3765532144786602,0.3636919004225424,0.3985953538627769,0.4014748054076198,0.3774576601129064,0.33887803250560034,0.3341280308410267
S121,0.45041401887155785,1.0,0.3873458943940451,0.4529491656965464,0.3058934511692567,0.3779010363450591,0.3976876491099284,0.3729467283782557,0.42566811406061145,0.4372113289760349,0.348374553510874,0.4271446332366349,0.38305617977528095,0.38848920863309355,0.3420654435407604,0.4013300760043431,0.2416891284815813,0.4155735026375986,0.40445096600635855,0.29245411904002916,0.29231698721176114,0.28344242647736706,0.3527685298755914,0.3239484561147581,0.26390622214298454,0.4180866351878464,0.4148254803634378,0.33807318202871695,0.35188114066618736,0.33606968577552787,0.3619592875318066,0.3244010559346516,0.33106881950583966,0.3954465180659634,0.34384349827387806,0.30793199835036433,0.3588631131574287,0.3757309941520468,0.42516707703130496,0.3095354741014563,0.33333333333333337,0.3467075166827549,0.4136265265110527,0.30932932072227004,0.3262260980878471,0.34710669077757683,0.2567671092951992,0.3030930961285757,0.27439739413680786,0.39864170501764895,0.41227312013828865,0.36293133495991636,0.37433620216077645,0.29767703259647804,0.38232894871010503,0.3878174138720676,0.3902707664066085,0.38063331803579625,0.3726201269265639,0.4043134169482112,0.3232443597076581,0.32649146364857085,0.3980664857530529,0.4104929771412834,0.3823638556452361,0.3315189922631313,0.3613563950842057,0.37142580207424636,0.39882607352486865,0.3505523908165027,0.3779495689480714,0.24314785956549634,0.38836214909834543,0.3754382450165281,0.24469613032951698,0.3940474492464223,0.36079571679128586,0.3332610769097373,0.4276517054015798,0.4103021249939768,0.3755872956211238,0.41048774902679186,0.3575989782886334,0.4000745712155108,0.42303699705186226,0.19139395507265122,0.34772840738891664,0.3488663723916533,0.3924675959892394,0.3563795093071095,0.3671490593342981,0.37299244508930807,0.37553505184057834,0.38842129737270403,0.37258079451801096,0.32359230220955093
S126,0.42073783675110576,0.3873458943940451,1.0,0.42452208305866845,0.35783333333333334,0.3621106821106821,0.37276828565943554,0.35794557888192813,0.4018512458510588,0.41474612482385564,0.3448607570583425,0.42670695922568214,0.4469022119907917,0.371115261217258,0.2879273504273504,0.39454902524309043,0.2313011002321591,0.4261662574535251,0.39170769629437674,0.3220338983050848,0.28180692402950525,0.261690865828194,0.33296587203160166,0.3212834670278154,0.28821470245040837,0.3953324669698939,0.3821285869960044,0.3106391232664145,0.3539932161578785,0.32555442817799685,0.35116012901883253,0.3230431758600396,0.3015865291025891,0.37431597971785735,0.3397706107244388,0.26156028368794326,0.3597906055461234,0.40269196822594877,0.40241439456531714,0.3019759856291955,0.3092836824411689,0.3211101398601398,0.36464761605282814,0.3323082657720623,0.2933785236008928,0.43539022761136514,0.21896202308573443,0.3023736933797909,0.2873337080756979,0.3620466321243523,0.3816461938491885,0.4060887019690308,0.39765733571570383,0.2827295285359801,0.3624689759361174,0.37386461937716264,0.35705421916762126,0.38063790235789063,0.3490064817766444,0.3528713247518168,0.3287005745184184,0.3465322082733072,0.4134938664243526,0.40647990255785627,0.4060691459916461,0.3323049076473734,0.3095527126715847,0.39553420608108103,0.3685779816513761,0.36331635016211206,0.3574019401096584,0.22381552175176822,0.3160590114640105,0.38309022150189087,0.26330035053467626,0.36014661449304075,0.3701388888888889,0.3664396519107075,0.4047004872456291,0.38300449109350554,0.32398107011782884,0.3564430694229598,0.34556603335346314,0.41382770558426574,0.4191260180401086,0.16116968550058575,0.3150899958141482,0.3685822078845208,0.3856168307035359,0.4049785120276832,0.37551296036569526,0.3859782196456629,0.3843359934520155,0.4106414067617272,0.3837342497136311,0.3063624484872851
S127,0.4154704944178629,0.4529491656965464,0.42452208305866845,1.0,0.3338761330945015,0.39108600125549275,0.38915208353475783,0.3950611246943765,0.43121881682109764,0.44196346189333824,0.3629924315932467,0.43902331720193577,0.4362359689462493,0.41272959434240253,0.33738083291520327,0.42411257729950824,0.25165833248290637,0.4509336310127867,0.4299491309877067,0.30793012071842185,0.28516212153747045,0.26864221520524656,0.3437658446646693,0.3308455114822547,0.27058879664090085,0.43097066460416555,0.3988294314381271,0.3330552147239264,0.3434978943629814,0.35943586961881746,0.3607693911592994,0.33573308977596306,0.35419185812172516,0.37843255161354983,0.3491330615452626,0.30492968027641243,0.3900566273154813,0.4324702981394306,0.4446589143637305,0.29601011520089915,0.33417217154241374,0.353363348638167,0.3968896548959878,0.3272500462021808,0.3144685656920567,0.40244816387709215,0.2408390984155322,0.332982378366397,0.2679063360881543,0.414868679136966,0.43389233762623924,0.3970880211780278,0.4038404286990176,0.32368675803739744,0.4035718235098972,0.3821762891618419,0.38838396111786144,0.3985006904714934,0.4077546743147096,0.38793228888781106,0.33901394717876976,0.3547948030521757,0.4310447487747905,0.457263454097784,0.39216464170592613,0.36021415425798897,0.3576624753095341,0.3995996628739992,0.4284080076263108,0.36040305512100856,0.38118642619027265,0.24138436720926826,0.36535196235385436,0.40323899885489944,0.2670653377630122,0.39945224932799106,0.38057103064066855,0.3538411306497504,0.42171632093179956,0.42517077209687437,0.35320988260720076,0.39873935427994034,0.3605928835273764,0.4360639107278722,0.4223960837449189,0.17276349148859105,0.33772765777213043,0.3670342804367903,0.4174175765928124,0.3798255179934569,0.39840260627397406,0.40790626368812966,0.4312631578947368,0.43002389304051647,0.39591979598979954,0.3203456640388114
S137,0.3130305602716469,0.3058934511692567,0.35783333333333334,0.3338761330945015,1.0,0.2768562840921741,0.2749822100233811,0.30307474726310824,0.3093247588424437,0.29541508282885165,0.2660968660968661,0.3172401287456367,0.3558842375053396,0.2887566069687484,0.21858444585717318,0.3024119682475066,0.17206534553416042,0.3452162657749973,0.3173375486930503,0.2981713511683034,0.21021235981865904,0.2005237560793116,0.25385976988887793,0.2542051782536311,0.29637779282329046,0.3515155196501245,0.3037053747673566,0.24090789126418577,0.32838687150837986,0.2993589047049875,0.3314160341555977,0.25860431996202227,0.2502556925230123,0.29673316301570907,0.27026882867505864,0.22737388724035612,0.32930735703408076,0.30729757145414405,0.3079491025206832,0.21218084569583207,0.23406182765258743,0.25578333646793305,0.2839623029754311,0.296535677352637,0.22288758751265902,0.3293048070118134,0.18203622124326968,0.2669523099850969,0.2262306826322792,0.2754243542435424,0.2873714986324625,0.35961366857382815,0.339403163559276,0.24563458856345888,0.3368395152857231,0.33244065733414485,0.2541656179209665,0.3192352878350956,0.2661070911722142,0.25694864048338373,0.2351432614078528,0.2681348275562505,0.33095364430080554,0.31635249519655195,0.2994732081094025,0.2635910006127987,0.23715135925757802,0.3132771760930606,0.2941870758335793,0.2784273099501752,0.29046054112456665,0.19002791308631162,0.22105892910559377,0.3026960061353312,0.21038079068639337,0.2621784057359764,0.2875534188034188,0.2786876984326967,0.2877823102178888,0.29138285220023785,0.2507457999685979,0.32110187110187105,0.252744547826515,0.321260180025718,0.3094774056112043,0.13943366275794966,0.2440287769784173,0.3035389649739425,0.28622360871260655,0.3141157907513048,0.32134430569143124,0.31807862349145655,0.3192490893807789,0.3200668715957504,0.3401634817187673,0.23029340924020147
S141,0.4173153296266878,0.3779010363450591,0.3621106821106821,0.39108600125549275,0.2768562840921741,1.0,0.3612938871866995,0.31702659027471725,0.3571870980037163,0.39142280050730427,0.3644098386015573,0.3455293353539727,0.3641385488205434,0.34683544303797464,0.3117332494495124,0.38203203203203207,0.24923614142295936,0.34852198269394286,0.35688289445514876,0.275568471499949,0.28033520835724945,0.27798078930883274,0.29221450037565744,0.3135733157199472,0.2653133542573656,0.3653651400922696,0.37126957280811823,0.3466448617851867,0.32076976237307964,0.29211299885406805,0.327708751559872,0.3357101782633698,0.3200167329010667,0.3219230572727737,0.3210432114548709,0.31185204480333417,0.3047546305136528,0.3473927244059015,0.3766110689916603,0.32201238704436996,0.31809376210771023,0.32000735226541677,0.32475871420595037,0.29668804441466445,0.26517178409139164,0.33373694566369005,0.2158256667595948,0.2834001144819691,0.27953705983747845,0.3642400273424149,0.36059031000556896,0.315553880224285,0.375096714293083,0.24883303411131064,0.3332771977096666,0.3337423997322474,0.37359106441576984,0.3159657244164287,0.31916068470458314,0.36192014537378225,0.28632166630878253,0.307788997360372,0.34965130589361415,0.3697882776915762,0.3734545454545455,0.2878288787891423,0.3188434596850316,0.3871829105473965,0.3448194029142342,0.3266052431610942,0.3236271084077478,0.2292927725179782,0.35628773150516735,0.35408472862119345,0.2468216910914891,0.4028858625162127,0.33850883935434284,0.3323766903395272,0.37863741909984683,0.32803608960885833,0.3040809138026468,0.3377541567116875,0.3203057398327084,0.3563475519853577,0.3704442670923118,0.1682872821796476,0.31513633834168053,0.3462066598008926,0.3807952483088599,0.3579623680587426,0.3227600084727812,0.37262725873567804,0.35979145608341756,0.36149221519963004,0.3250151240169389,0.28761434128903374
S143,0.38590604026845643,0.3976876491099284,0.37276828565943554,0.38915208353475783,0.2749822100233811,0.3612938871866995,1.0,0.3321253268498555,0.375331148129855,0.4142106669041047,0.351923622270536,0.3802143925544291,0.3353967106452196,0.3564379372654404,0.3181288819875776,0.3901242642249837,0.26752720830169574,0.3379148662314977,0.35461621834663515,0.29650136031693,0.27983668341708545,0.30100171023698996,0.32738175146552106,0.3242197444121989,0.2780315516835413,0.36270766690743994,0.38242448814109065,0.32689172341037687,0.3477652933832709,0.3026212015773603,0.3616596746137317,0.33333333333333337,0.2989944981976854,0.33228720874940565,0.29986526041908657,0.3087939457802471,0.3175986768584328,0.3455305532617672,0.3656102258798809,0.314537568210438,0.31107631698570637,0.3448050533652799,0.3256232427366448,0.3256404443436862,0.2985930383864671,0.33389340054139827,0.2594981759943056,0.30304476978569916,0.3152356902356902,0.3883889427292445,0.37870289219982467,0.34238256831577063,0.3661717971825641,0.23912433342688744,0.3389348500517063,0.3339818749679996,0.3600898119562167,0.352607656623401,0.34653977449053486,0.3308810089563151,0.31046872448146334,0.3212786183949933,0.3518092805449128,0.3426296633303003,0.3632374684027281,0.3313180169286578,0.3272424480732756,0.35739348370927315,0.3485244015751515,0.3921958896500648,0.3318321973385264,0.2326322801674915,0.3630482351821901,0.359370143996685,0.25827642838620446,0.38883123301210776,0.387852302857704,0.3439661448853295,0.3771310724106325,0.3596044786971063,0.3233976324105079,0.3380982538677282,0.3577750263676801,0.3820187005514265,0.3773231102591883,0.18051396648044693,0.31562292655540247,0.3333852705931235,0.36037340255591055,0.33058447582723427,0.3283867176021158,0.34516542703257247,0.3604399921429975,0.38297358636341683,0.32551524759861983,0.29507001166861146
S146,0.37249557691388135,0.3729467283782557,0.35794557888192813,0.3950611246943765,0.30307474726310824,0.31702659027471725,0.3321253268498555,1.0,0.37071412480288357,0.40131432884863016,0.3426477541371158,0.3676927538633633,0.35119705340699814,0.3373665807876334,0.27691724693287856,0.35550458715596334,0.26537579617834395,0.388058984581392,0.39657113613101336,0.2745153664302601,0.2792464777584296,0.26844960868103906,0.3031321889930986,0.3008318628686665,0.2500928332714445,0.34681605591817855,0.37983587338804226,0.3331391680015533,0.30605676387398806,0.32290677805202206,0.3227147508139244,0.30011365984707583,0.32823494917904616,0.36295025728987995,0.3118238934290708,0.2778248986900387,0.37911699571219903,0.35868880016810256,0.391513246519982,0.2740437158469945,0.2698357907194635,0.3336377870563675,0.3338139323114281,0.3247239207812357,0.3211742660836977,0.3315656091608785,0.26055169320475446,0.2740872476200439,0.271948608137045,0.35488844549247234,0.3499913614374568,0.3617787913340935,0.342472184404488,0.2985030383874314,0.3340257582052347,0.3187244897959184,0.3435565690882859,0.40844309022999803,0.321479738027016,0.35580664822542074,0.3013262599469496,0.3466850828729282,0.36142758501639916,0.3769382576825486,0.3579632465543645,0.3373670700403374,0.32108900329298273,0.3380302728540131,0.33841800415616574,0.32033770941077666,0.33017983117889327,0.23092398333093833,0.31467788150476017,0.30491655390166894,0.2625349406009784,0.3241562633502635,0.3226171396247761,0.30823445445624054,0.38445836232892605,0.3308637254433344,0.34140820651126946,0.332108843537415,0.3142908229404139,0.37446563235506025,0.34350458115183247,0.20188030268287094,0.3346208048436766,0.32098765432098764,0.33788463441179384,0.30664829838257057,0.32226370603261933,0.3824857856421702,0.32912799690641914,0.37013299922899,0.3501100373170032,0.3284077201447527
S153,0.44051355206847365,0.42566811406061145,0.4018512458510588,0.43121881682109764,0.3093247588424437,0.3571870980037163,0.375331148129855,0.37071412480288357,1.0,0.43264618177103586,0.33238548007286617,0.40263477908390755,0.37506666666666666,0.40506851198386873,0.32301418111039026,0.38398293409181816,0.2363840539023021,0.3941652567561388,0.3886618262249363,0.3113601910974322,0.29910489791813333,0.2837565313044276,0.33598691854210594,0.34154463979626815,0.26729461945172617,0.3821979114868225,0.4098376783079193,0.35416666666666663,0.35444911208707275,0.3430889861415025,0.35963676977613757,0.33566293929712465,0.313310206317327,0.36569278647405823,0.33891194308906014,0.30317748524738997,0.36488279522335254,0.37722598444946076,0.4222726677434845,0.3017962490094215,0.32272265492719265,0.34509362358730555,0.3790579846124976,0.3317531422606881,0.3007612726917822,0.3758839195518413,0.2437696335078534,0.31553865652724966,0.2986972977730834,0.41848095560063103,0.3916027623607169,0.36032528765464145,0.36395264774986447,0.264643165010662,0.36750551433727696,0.35436102472974973,0.37052868391451066,0.3836161551479669,0.3550459622417713,0.3612796716044976,0.32211823243691506,0.3477518718237188,0.39622482514536106,0.37286704585851405,0.37111090775988287,0.34193799961006044,0.3529014844804319,0.3946104850563449,0.37656614533828736,0.31410550937721904,0.3676194283429942,0.23256549232158985,0.35924702475225123,0.38757470744814426,0.2688995215311005,0.3649493125954728,0.3497063777484408,0.3602727672679279,0.40063274217984135,0.3845430170751212,0.3422684172137126,0.3926418997931097,0.3513996686142845,0.4011503850078857,0.41996536368134585,0.1804322901184764,0.3203538962617277,0.3545431789737171,0.3822649160069511,0.343541615213633,0.36704550903946676,0.3812287372423454,0.4216313963149406,0.39341903745300966,0.37409541368979027,0.3026358607224211
S155,0.41985905312612937,0.4372113289760349,0.41474612482385564,0.44196346189333824,0.29541508282885165,0.39142280050730427,0.4142106669041047,0.40131432884863016,0.43264618177103586,1.0,0.38532069257132684,0.44581091468101464,0.38493091537132984,0.38075386486017027,0.33189751873289364,0.43122561191912023,0.26572976944980253,0.4298309069536125,0.4158490566037736,0.30652757603767766,0.3161875945537065,0.2959669171595002,0.3438139379514802,0.340900545215266,0.28077903009889016,0.39876232836975445,0.41793956697596957,0.36111987737252604,0.3544315417450773,0.33755901381360376,0.354297401571143,0.3443871403094423,0.3497608087372507,0.3762054979720595,0.35145794558184884,0.3202247191011236,0.3698090589947769,0.38388189738625367,0.43643490115882755,0.3301420897591405,0.3516540889458446,0.36861089478214537,0.38921079653806656,0.33091655840073764,0.34411328704064914,0.36391544601350756,0.2803039740874549,0.29006906406287214,0.3173279456647896,0.41686945941248044,0.4034609507289473,0.3879115730289219,0.39448846941501203,0.2917445899011488,0.35013779340492257,0.3557601062820269,0.4100950595795957,0.42553481400735793,0.33830146231721037,0.4116518713476379,0.3456171039844509,0.3626419537392229,0.4283213868978163,0.4242963226466272,0.4158321194464676,0.4103225294561035,0.34890656063618286,0.40078557569447726,0.38501573976915004,0.3646334826474652,0.38953534082868146,0.25021991555242784,0.3970601416151295,0.3746236559139785,0.2966879816363338,0.4090553536097179,0.37206400142621565,0.3762826842986561,0.4235324970496962,0.37870382898119337,0.382959479015919,0.3752034958444006,0.37315155141465084,0.40862921348314607,0.4289214701747339,0.20981769526676697,0.3503054017942355,0.353220696937698,0.38650335320417284,0.3692857833188363,0.379835218544896,0.3741932399483674,0.3930036410563672,0.41572012721490237,0.36655479996467366,0.3424651227036235
